instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,5,18.0,True,True,10.0,10.0,0.0,11.0,4.0,3.0,11.0,4.0,3.0,0.15588329915772192,0.14912550250301138,0.18931459962914232,0.19129200154566206,0.7795699835751606
2,30,10,7,10.0,True,True,4.0,4.0,0.0,7.0,2.0,1.0,7.0,2.0,1.0,0.26316455005144235,0.24712449885555543,0.34283749882888515,0.33354199695168063,0.7409096938738894
3,55,5,8,16.0,True,True,2.0,2.0,0.0,14.0,2.0,0.0,14.0,2.0,0.0,0.16258735122391954,0.16066649914137088,0.2227521501481533,0.20835400209762156,0.7711226927433469
4,33,13,11,17.0,True,True,8.0,8.0,0.0,9.0,8.0,0.0,9.0,8.0,0.0,0.4859355503867846,0.46716650103917345,0.7265854503202718,0.7117710047168657,0.6563438211774402
5,35,11,7,11.0,True,True,2.0,2.0,0.0,10.0,0.0,1.0,10.0,0.0,1.0,0.34056869917549193,0.3305830032331869,0.4629439008567715,0.4532705061137676,0.729328290224586
6,20,10,9,12.0,True,True,7.0,7.0,0.0,5.0,7.0,0.0,5.0,7.0,0.0,0.18589175087981857,0.18393749996903352,0.30081654913374223,0.2898754974012263,0.6345396613996647
7,52,11,12,18.0,True,True,5.0,5.0,0.0,13.0,5.0,0.0,13.0,5.0,0.0,0.36716034956043586,0.3520210011629388,0.6778165992727736,0.6483959987235721,0.5429105081708168
8,51,11,10,16.0,True,True,3.0,3.0,0.0,13.0,3.0,0.0,13.0,3.0,0.0,0.31479175013373606,0.31141699946601875,0.5118249497172656,0.5067085003247485,0.6145880703924095
9,25,15,9,21.0,True,True,13.0,13.0,0.0,8.0,13.0,0.0,8.0,13.0,0.0,0.5470394997246331,0.5387080018408597,0.8104958509647986,0.8042705012485385,0.6698094745543653
10,51,6,12,18.0,True,True,8.0,8.0,0.0,13.0,2.0,3.0,13.0,2.0,3.0,0.2827501502906671,0.27893799779121764,0.35845835009240545,0.34450000021024607,0.80968939802898
11,50,9,7,17.0,True,True,8.0,8.0,0.0,11.0,4.0,2.0,11.0,4.0,2.0,0.29520419921027496,0.28947949977009557,0.33606049946683925,0.3249374967708718,0.8908774845835066
12,36,15,7,33.0,True,True,32.0,32.0,0.0,10.0,14.0,9.0,10.0,14.0,9.0,0.6187020509969443,0.5950414997641928,1.0729959005402634,1.0615834980853833,0.5605225597773315
13,52,5,5,18.0,True,True,5.0,5.0,0.0,13.0,5.0,0.0,13.0,5.0,0.0,0.11002289938915055,0.10849999671336263,0.14233114961825777,0.14168749839882366,0.7657697252015527
14,42,10,5,15.0,True,True,7.0,7.0,0.0,10.0,3.0,2.0,10.0,3.0,2.0,0.3229582005587872,0.31377050254377536,0.4232147490256466,0.41308349682367407,0.7595813073057945
15,56,15,6,18.0,True,True,6.0,6.0,0.0,15.0,0.0,3.0,15.0,0.0,3.0,0.5203332995733945,0.4967915010638535,0.8571957998356083,0.8582499976910185,0.5788424146814913
16,50,5,8,17.0,True,True,12.0,12.0,0.0,9.0,4.0,4.0,9.0,4.0,4.0,0.19135625043418258,0.18812500275089405,0.22555834912054706,0.21129149899934418,0.8903576511210135
17,21,7,6,7.0,True,True,4.0,4.0,0.0,5.0,0.0,2.0,5.0,0.0,2.0,0.13831049982400145,0.13612499969894998,0.18416670063743368,0.1813335002225358,0.7506886456826504
18,49,13,9,17.0,True,True,13.0,13.0,0.0,8.0,5.0,4.0,8.0,5.0,4.0,0.4499604008742608,0.4381454964459408,0.6237999008590123,0.6158329997560941,0.7114680386070121
19,41,7,5,13.0,True,True,10.0,10.0,0.0,8.0,0.0,5.0,8.0,0.0,5.0,0.18162279993703123,0.17031250172294676,0.23067924994393252,0.22387550052371807,0.7607464922447078
20,38,6,12,12.0,True,True,2.0,2.0,0.0,10.0,2.0,0.0,10.0,2.0,0.0,0.2798439487378346,0.27029150078305975,0.36541865083563607,0.35362500057090074,0.7643449992129929
21,49,14,10,17.0,True,True,5.0,5.0,0.0,12.0,5.0,0.0,12.0,5.0,0.0,0.5095435990369879,0.49770849727792665,0.8447081003396306,0.8115830023598392,0.6132564332061418
22,31,14,12,19.0,True,True,19.0,19.0,0.0,9.0,1.0,9.0,9.0,1.0,9.0,0.5172667992155766,0.49710449820850044,0.8155376013746718,0.7658335016458295,0.6491025753511543
23,35,9,12,10.0,True,True,4.0,4.0,0.0,6.0,4.0,0.0,6.0,4.0,0.0,0.28241244981472846,0.2736669994192198,0.39415409955836367,0.38902050073374994,0.7034770632988326
24,44,10,11,13.0,True,True,3.0,3.0,0.0,10.0,3.0,0.0,10.0,3.0,0.0,0.3227335004339693,0.31893800041871145,0.46184999991965014,0.447208498371765,0.7131751779761079
25,42,6,7,15.0,True,True,4.0,4.0,0.0,11.0,4.0,0.0,11.0,4.0,0.0,0.17561885033501312,0.17433350149076432,0.24958744834293614,0.24112499886541627,0.7230005279878443
26,32,15,10,32.0,True,True,26.0,26.0,0.0,10.0,18.0,4.0,10.0,18.0,4.0,0.6726751002133824,0.6572500024049077,1.112999999531894,1.1083539975516032,0.5929964648991192
27,51,13,10,18.0,True,True,5.0,5.0,0.0,13.0,5.0,0.0,13.0,5.0,0.0,0.5118022505484987,0.4968960020050872,0.8064042995101772,0.8018335029191803,0.6196997259357111
28,60,5,9,21.0,True,True,10.0,10.0,0.0,13.0,6.0,2.0,13.0,6.0,2.0,0.16971449913398828,0.16762499581091106,0.2285708993440494,0.22000000171829015,0.7619317931895053
29,55,9,11,17.0,True,True,2.0,2.0,0.0,15.0,2.0,0.0,15.0,2.0,0.0,0.40492910011380445,0.391249999665888,0.5475437003042316,0.533187499968335,0.7337943963223511
30,49,9,8,15.0,True,True,7.0,7.0,0.0,10.0,3.0,2.0,10.0,3.0,2.0,0.32534399870201014,0.31647949799662456,0.3731792992766714,0.3656244989542756,0.8655861379688425
