instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,5,6.0,True,True,2.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,0.1592667518707458,0.15695850015617907,0.19138760035275482,0.17825049872044474,0.88055013188121
2,30,10,11,25.0,True,True,31.0,31.0,0.0,8.0,3.0,14.0,8.0,3.0,14.0,0.447153997811256,0.43597899639280513,0.5721456989704166,0.5595624970737845,0.7791426313820965
3,30,13,8,26.0,True,True,38.0,38.0,0.0,6.0,2.0,18.0,6.0,2.0,18.0,0.5880396507564001,0.5780000064987689,0.8765271020820364,0.8710415058885701,0.6635734377653306
4,46,12,7,39.0,True,True,55.0,55.0,0.0,9.0,5.0,25.0,9.0,5.0,25.0,0.4990916495444253,0.47445850213989615,0.7897729999967851,0.7747080016997643,0.6124352673509252
5,40,8,11,33.0,True,True,45.0,45.0,0.0,10.0,1.0,22.0,10.0,1.0,22.0,0.3805479507718701,0.3750835021492094,0.5958895992080215,0.590125004237052,0.6356000838062084
6,31,11,5,25.0,True,True,17.0,17.0,0.0,8.0,17.0,0.0,8.0,17.0,0.0,0.4312727520300541,0.4254995074006729,0.6539480018545873,0.6469585059676319,0.6576921139080921
7,41,14,12,34.0,True,True,42.0,42.0,0.0,9.0,8.0,17.0,9.0,8.0,17.0,0.6276438005443197,0.6164375008665957,1.0050457502075005,1.0051045028376393,0.6133068741869646
8,48,9,7,39.0,True,True,44.0,44.0,0.0,11.0,12.0,16.0,11.0,12.0,16.0,0.4616959995473735,0.4501879957388155,0.6649165516137145,0.6598960026167333,0.6822105209815675
9,50,5,10,28.0,True,True,19.0,19.0,0.0,10.0,17.0,1.0,10.0,17.0,1.0,0.17777304965420626,0.17464599659433588,0.21110619854880497,0.20718750602100044,0.8429369123089586
10,41,5,10,20.0,True,True,15.0,15.0,0.0,8.0,9.0,3.0,8.0,9.0,3.0,0.27516249974723905,0.2675415016710758,0.2988292500958778,0.2957084943773225,0.9047474345789143
11,23,13,6,19.0,True,True,22.0,22.0,0.0,5.0,6.0,8.0,5.0,6.0,8.0,0.3809853980783373,0.3679789952002466,0.5381999508244917,0.5343955053831451,0.688589240540893
12,48,14,6,41.0,True,True,40.0,40.0,0.0,10.0,22.0,9.0,10.0,22.0,9.0,0.6209020481037442,0.6139374963822775,0.8974020987807307,0.8956874953582883,0.6854371637026074
13,36,10,5,29.0,True,True,21.0,21.0,0.0,8.0,21.0,0.0,8.0,21.0,0.0,0.32357919844798744,0.317166508466471,0.5281603516777977,0.5195830017328262,0.6104251051491492
14,42,10,5,36.0,True,True,36.0,36.0,0.0,8.0,20.0,8.0,8.0,20.0,8.0,0.3825457504717633,0.3762915075640194,0.5755395490268711,0.5667919976986013,0.663897001178406
15,56,15,11,46.0,True,True,55.0,55.0,0.0,12.0,13.0,21.0,12.0,13.0,21.0,0.7361562020378187,0.7222500062198378,1.2822501012124121,1.2804789948859252,0.5640467427458123
16,49,10,6,41.0,True,True,44.0,44.0,0.0,12.0,14.0,15.0,12.0,14.0,15.0,0.384845701046288,0.3765620058402419,0.5673291510902345,0.5605210026260465,0.6718071295741732
17,31,6,7,25.0,True,True,33.0,33.0,0.0,6.0,5.0,14.0,6.0,5.0,14.0,0.27699170022970065,0.27602099726209417,0.3450791977229528,0.3295624992460944,0.8375376382128382
18,55,8,6,47.0,True,True,35.0,35.0,0.0,12.0,35.0,0.0,12.0,35.0,0.0,0.25672279953141697,0.25591650046408176,0.40133335132850334,0.39283349906327203,0.6514630271459165
19,39,10,11,33.0,True,True,35.0,35.0,0.0,8.0,15.0,10.0,8.0,15.0,10.0,0.4593563011439983,0.44841649651061743,0.632975000917213,0.6220209979801439,0.720902506453539
20,53,6,12,18.0,True,True,29.0,29.0,0.0,2.0,3.0,13.0,2.0,3.0,13.0,0.2922999003203586,0.2902705018641427,0.3481644998828415,0.3361665003467351,0.8634724208531978
21,48,13,7,39.0,True,True,46.0,46.0,0.0,10.0,12.0,17.0,10.0,12.0,17.0,0.5817895005748142,0.5758960032835603,0.979826950788265,0.9772080011316575,0.5893279656087986
22,48,8,6,39.0,True,True,40.0,40.0,0.0,11.0,16.0,12.0,11.0,16.0,12.0,0.2933020005002618,0.2923125066445209,0.4198980015644338,0.4115210031159222,0.7103222057470023
23,58,13,11,46.0,True,True,37.0,37.0,0.0,13.0,29.0,4.0,13.0,29.0,4.0,0.7801458530593663,0.7597710064146668,1.3848437483829912,1.3824374982505105,0.5495879613915025
24,58,11,7,47.0,True,True,35.0,35.0,0.0,13.0,33.0,1.0,13.0,33.0,1.0,0.45823959808330983,0.45191699609858915,0.7644146004167851,0.7572084941784851,0.5968197657223662
25,59,6,9,8.0,True,True,1.0,1.0,0.0,7.0,1.0,0.0,7.0,1.0,0.0,0.17480205060564913,0.17387449770467356,0.2382103972195182,0.2304579975316301,0.7544736983181045
26,50,12,10,40.0,True,True,37.0,37.0,0.0,12.0,19.0,9.0,12.0,19.0,9.0,0.6657063495367765,0.6444579994422384,1.1020793019270059,1.0918539992417209,0.590241918690417
27,22,5,12,18.0,True,True,18.0,18.0,0.0,5.0,8.0,5.0,5.0,8.0,5.0,0.2902667496528011,0.28945800295332447,0.33989780058618635,0.33131249801954255,0.87367064231984
28,23,7,11,20.0,True,True,23.0,23.0,0.0,6.0,5.0,9.0,6.0,5.0,9.0,0.31924380018608645,0.3106460062554106,0.42992919916287065,0.4222710049361922,0.7356555449559015
29,23,6,5,19.0,True,True,18.0,18.0,0.0,5.0,10.0,4.0,5.0,10.0,4.0,0.20153119985479861,0.20041600510012358,0.2104209503158927,0.20599999697878957,0.9728932429098971
30,28,13,7,23.0,True,True,16.0,16.0,0.0,7.0,16.0,0.0,7.0,16.0,0.0,0.49053135080612265,0.48031249752966687,0.8391290502913762,0.826166506158188,0.5813749334419281
