instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,600,100,50,460.0,True,True,139.0,139.0,0.0,322.0,137.0,1.0,322.0,137.0,1.0,44.3206222000299,43.66993499570526,372.96743760234676,373.813787009567,0.11682269759244492
2,600,100,50,480.0,True,True,188.0,188.0,0.0,311.0,150.0,19.0,311.0,150.0,19.0,41.90734100120608,41.415277009946294,332.57365920289885,331.7352519952692,0.1248443653812737
3,600,100,50,422.0,True,True,108.0,108.0,0.0,314.0,108.0,0.0,314.0,108.0,0.0,35.30904400104191,34.21110101044178,321.7875515954802,319.924051000271,0.10693507069405295
4,600,100,50,452.0,True,True,111.0,111.0,0.0,341.0,111.0,0.0,341.0,111.0,0.0,35.81148539669812,34.06327099946793,381.04729719634634,380.3987419960322,0.08954622410350462
5,600,100,50,437.0,True,True,99.0,99.0,0.0,338.0,99.0,0.0,338.0,99.0,0.0,33.65223520086147,32.97497099265456,332.73060439678375,333.7157139903866,0.09881156208785685
6,600,100,50,460.0,True,True,102.0,102.0,0.0,358.0,102.0,0.0,358.0,102.0,0.0,36.77297979593277,35.9579319920158,347.5259240018204,347.1079440059839,0.10359293877582909
7,600,100,50,448.0,True,True,159.0,159.0,0.0,307.0,123.0,18.0,307.0,123.0,18.0,43.53853420179803,42.00486099580303,375.3499351994833,375.79058299888857,0.11177731134344913
8,600,100,50,466.0,True,True,208.0,208.0,0.0,301.0,122.0,43.0,301.0,122.0,43.0,38.47363080421928,37.68143001070712,394.0947044029599,393.4964040090563,0.09576054476431729
9,600,100,50,461.0,True,True,121.0,121.0,0.0,340.0,121.0,0.0,340.0,121.0,0.0,41.230836397153325,40.91207998862956,369.06024980416987,367.74941701150965,0.11124988401368183
10,600,100,50,433.0,True,True,130.0,130.0,0.0,303.0,130.0,0.0,303.0,130.0,0.0,36.536730398074724,35.323239004355855,333.15254239714704,333.14575199619867,0.1060293844141795
11,600,100,50,449.0,True,True,134.0,134.0,0.0,315.0,134.0,0.0,315.0,134.0,0.0,35.55985639686696,34.465964999981225,377.2599674004596,377.79558199690655,0.09122913724349332
12,600,100,50,462.0,True,True,114.0,114.0,0.0,348.0,114.0,0.0,348.0,114.0,0.0,38.04824120015837,38.214696003706194,368.47263499803375,368.30267299956176,0.10375894286206189
13,600,100,50,461.0,True,True,185.0,185.0,0.0,303.0,131.0,27.0,303.0,131.0,27.0,42.913665404194035,42.93846100335941,369.73819859849755,369.09129899868276,0.11633560888552036
14,600,100,50,446.0,True,True,130.0,130.0,0.0,320.0,122.0,4.0,320.0,122.0,4.0,35.19845399714541,34.292312993784435,358.7264602043433,357.9383040050743,0.09580509436983388
15,600,100,50,439.0,True,True,86.0,86.0,0.0,353.0,86.0,0.0,353.0,86.0,0.0,34.55383560212795,34.03495099337306,367.059556604363,366.0099709959468,0.09298913606304447
16,600,100,50,431.0,True,True,86.0,86.0,0.0,345.0,86.0,0.0,345.0,86.0,0.0,34.979914195719175,33.54164698976092,386.9793939986266,385.27596299536526,0.08705875842600753
17,600,100,50,461.0,True,True,147.0,147.0,0.0,327.0,121.0,13.0,327.0,121.0,13.0,50.84129040478729,50.119496998377144,391.1475435947068,391.46831799007487,0.12802951016753253
18,600,100,50,442.0,True,True,128.0,128.0,0.0,314.0,128.0,0.0,314.0,128.0,0.0,43.35873099626042,41.092185987508856,368.18896980257705,369.11041900748387,0.11132762412397709
19,600,100,50,449.0,True,True,119.0,119.0,0.0,330.0,119.0,0.0,330.0,119.0,0.0,37.17481740168296,36.37439200247172,364.54274479765445,363.02410399366636,0.10019828326084469
20,600,100,50,448.0,True,True,113.0,113.0,0.0,335.0,113.0,0.0,335.0,113.0,0.0,37.341282598208636,36.432086999411695,397.7714071981609,396.45844999176916,0.0918938340201049
21,600,100,50,479.0,True,True,136.0,136.0,0.0,343.0,136.0,0.0,343.0,136.0,0.0,37.05634519865271,36.35464199760463,370.8936241979245,371.84397999953944,0.09776853721727499
