instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,10,10,47.0,True,True,16.0,16.0,0.0,32.0,14.0,1.0,32.0,14.0,1.0,0.700436401530169,0.6810560007579625,1.0285853990353644,1.0131629969691858,0.6722077324135398
2,60,10,10,43.0,True,True,15.0,15.0,0.0,31.0,9.0,3.0,31.0,9.0,3.0,0.6535518012242392,0.6596589955734089,0.9295819996623322,0.9127389930654317,0.7227246787802346
3,60,10,10,43.0,True,True,8.0,8.0,0.0,35.0,8.0,0.0,35.0,8.0,0.0,0.6609611969906837,0.6507490033982322,0.8952395961387083,0.8931880001910031,0.7285689051566672
4,60,10,10,47.0,True,True,20.0,20.0,0.0,30.0,14.0,3.0,30.0,14.0,3.0,0.6589472002815455,0.6662110099568963,1.018496000324376,0.9967530058929697,0.6683812399041146
5,60,10,10,48.0,True,True,18.0,18.0,0.0,33.0,12.0,3.0,33.0,12.0,3.0,0.7232086005387828,0.7218560058390722,1.0445333988172933,1.0478299955138937,0.6889056516129297
6,60,10,10,47.0,True,True,11.0,11.0,0.0,36.0,11.0,0.0,36.0,11.0,0.0,0.6504864024464041,0.6313969934126362,1.008198200725019,1.0078829945996404,0.6264586234669481
7,60,10,10,46.0,True,True,17.0,17.0,0.0,30.0,15.0,1.0,30.0,15.0,1.0,0.605557396193035,0.6114549905760214,0.8302672009449452,0.8219070004997775,0.7439466876474023
8,60,10,10,48.0,True,True,22.0,22.0,0.0,31.0,12.0,5.0,31.0,12.0,5.0,0.7729131961241364,0.7268589979503304,1.0749342007329687,1.0355849954066798,0.7018825119853044
9,60,10,10,48.0,True,True,16.0,16.0,0.0,34.0,12.0,2.0,34.0,12.0,2.0,0.799516003462486,0.7947810081532225,1.171703200088814,1.180791005026549,0.6730920245580229
10,60,10,10,45.0,True,True,9.0,9.0,0.0,36.0,9.0,0.0,36.0,9.0,0.0,0.5440473963972181,0.5417789943749085,0.9910189983202145,0.9981040057027712,0.542808155542306
11,60,10,10,42.0,True,True,8.0,8.0,0.0,36.0,4.0,2.0,36.0,4.0,2.0,0.5016458046156913,0.4971020098309964,0.7596621930133551,0.7388219964923337,0.6728305494301218
12,60,10,10,47.0,True,True,12.0,12.0,0.0,35.0,12.0,0.0,35.0,12.0,0.0,0.5907037964789197,0.5685859941877425,1.027615403290838,1.0349539952585474,0.5493828680237144
13,60,10,10,48.0,True,True,22.0,22.0,0.0,30.0,14.0,4.0,30.0,14.0,4.0,0.6139593955595046,0.6180009950185195,1.0450402012793347,1.0230250045424327,0.6040917790615803
14,60,10,10,42.0,True,True,11.0,11.0,0.0,31.0,11.0,0.0,31.0,11.0,0.0,0.6115254014730453,0.6020540022291243,1.138863799860701,1.1412890016799793,0.527521076031487
15,60,10,10,43.0,True,True,8.0,8.0,0.0,35.0,8.0,0.0,35.0,8.0,0.0,0.5404125986387953,0.5342590011423454,0.9023023972986266,0.8999489946290851,0.593654756359321
16,60,10,10,43.0,True,True,9.0,9.0,0.0,34.0,9.0,0.0,34.0,9.0,0.0,0.6411595997633412,0.6391960050677881,0.912413204787299,0.8936579979490489,0.7152579695305668
17,60,10,10,48.0,True,True,12.0,12.0,0.0,36.0,12.0,0.0,36.0,12.0,0.0,0.6876183964777738,0.6928140064701438,1.186640397645533,1.1871269962284714,0.5836056366936555
18,60,10,10,43.0,True,True,7.0,7.0,0.0,36.0,7.0,0.0,36.0,7.0,0.0,0.6189440027810633,0.6165600061649457,0.8363631990505382,0.8362660009879619,0.7372773799682681
19,60,10,10,44.0,True,True,9.0,9.0,0.0,35.0,9.0,0.0,35.0,9.0,0.0,0.7118371984688565,0.7069019920891151,1.1589906003791839,1.1324109946144745,0.6242450801440492
20,60,10,10,46.0,True,True,13.0,13.0,0.0,33.0,13.0,0.0,33.0,13.0,0.0,0.4839364002691582,0.48060499830171466,0.7866511936299503,0.7888869877206162,0.609219071657347
21,60,10,10,43.0,True,True,15.0,15.0,0.0,29.0,13.0,1.0,29.0,13.0,1.0,0.6426943960832432,0.6263989926083013,0.9501227963482961,0.9466009942116216,0.6617349827843768
22,60,10,10,45.0,True,True,10.0,10.0,0.0,35.0,10.0,0.0,35.0,10.0,0.0,0.5401345959398896,0.5336419999366626,0.8604803995694965,0.8477660012431443,0.6294685080011966
23,60,10,10,45.0,True,True,20.0,20.0,0.0,29.0,12.0,4.0,29.0,12.0,4.0,0.6913245975738391,0.6775509973522276,0.9691626008134335,0.9672529995441437,0.7004899417955285
24,60,10,10,45.0,True,True,11.0,11.0,0.0,34.0,11.0,0.0,34.0,11.0,0.0,0.6080392020521685,0.6067770009394735,1.0934969992376864,1.0714060044847429,0.5663371293418155
25,60,10,10,46.0,True,True,12.0,12.0,0.0,34.0,12.0,0.0,34.0,12.0,0.0,0.6263941992074251,0.6189690029714257,1.222037200932391,1.2561829935293645,0.4927379260503869
26,60,10,10,43.0,True,True,14.0,14.0,0.0,30.0,12.0,1.0,30.0,12.0,1.0,0.7035921997157857,0.6773390050511807,0.921798002673313,0.921596001717262,0.7349630464857233
27,60,10,10,48.0,True,True,21.0,21.0,0.0,30.0,15.0,3.0,30.0,15.0,3.0,0.7955652050441131,0.7992200116859749,1.2324380018981174,1.1961520067416131,0.6681592366032943
28,60,10,10,42.0,True,True,7.0,7.0,0.0,35.0,7.0,0.0,35.0,7.0,0.0,0.5923744029132649,0.5757829931098968,0.928900801227428,0.9275199990952387,0.6207769036479555
29,60,10,10,43.0,True,True,12.0,12.0,0.0,35.0,4.0,4.0,35.0,4.0,4.0,0.6084926018957049,0.6038050050847232,0.9756108047440648,0.9742940019350499,0.6197359358525284
30,60,10,10,45.0,True,True,9.0,9.0,0.0,36.0,9.0,0.0,36.0,9.0,0.0,0.5464357993332669,0.5351919971872121,0.9371353982714936,0.9470520017202944,0.5651136328470351
