instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,120,20,3,94.0,True,True,22.0,22.0,0.0,72.0,22.0,0.0,72.0,22.0,0.0,1.189056399744004,1.203823005198501,2.978253795299679,2.9448029963532463,0.4087957689153667
2,120,20,3,93.0,True,True,23.0,23.0,0.0,70.0,23.0,0.0,70.0,23.0,0.0,1.3624541985336691,1.3794029946438968,2.969090797705576,2.9896469932282344,0.46139326742198794
3,120,20,3,88.0,True,True,18.0,18.0,0.0,70.0,18.0,0.0,70.0,18.0,0.0,1.187162398127839,1.1993539956165478,2.783726798952557,2.769829996395856,0.4330063567717748
4,120,20,3,92.0,True,True,30.0,30.0,0.0,65.0,24.0,3.0,65.0,24.0,3.0,1.3799710024613887,1.387281998177059,3.626224596519023,3.594693000195548,0.3859250283964701
5,120,20,3,89.0,True,True,26.0,26.0,0.0,64.0,24.0,1.0,64.0,24.0,1.0,1.6417662001913413,1.5688420098740608,3.2951122004305944,3.2572339987382293,0.48164854305272226
6,120,20,3,88.0,True,True,23.0,23.0,0.0,65.0,23.0,0.0,65.0,23.0,0.0,1.7015657998854294,1.6948819975368679,3.6800911970203742,3.6604799970518798,0.4630217891921037
7,120,20,3,93.0,True,True,25.0,25.0,0.0,68.0,25.0,0.0,68.0,25.0,0.0,1.225673605222255,1.2230270076543093,3.298362798523158,3.286482999101281,0.37213854688697834
8,120,20,3,95.0,True,True,38.0,38.0,0.0,61.0,30.0,4.0,61.0,30.0,4.0,1.7105592007283121,1.662434995523654,3.4196674008853734,3.4194180043414235,0.4861748383534751
9,120,20,3,93.0,True,True,27.0,27.0,0.0,66.0,27.0,0.0,66.0,27.0,0.0,1.3864397973520681,1.3765780022367835,4.078059995663352,3.5086989955743775,0.3923328857713645
10,120,20,3,86.0,True,True,19.0,19.0,0.0,67.0,19.0,0.0,67.0,19.0,0.0,1.3866108027286828,1.3846410001860932,3.1759205972775817,3.1919949979055673,0.4337854542675122
11,120,20,3,85.0,True,True,26.0,26.0,0.0,61.0,22.0,2.0,61.0,22.0,2.0,1.480692403856665,1.4659010048490018,3.2481829985044897,3.2125059951795265,0.4563107452713351
12,120,20,3,88.0,True,True,17.0,17.0,0.0,71.0,17.0,0.0,71.0,17.0,0.0,1.276373997097835,1.263041005586274,3.156490402761847,3.1386899936478585,0.4024102438095004
13,120,20,3,92.0,True,True,35.0,35.0,0.0,63.0,23.0,6.0,63.0,23.0,6.0,1.4301719987997785,1.4016429922776297,2.780288801295683,2.7451580099295825,0.5105873640816705
14,120,20,3,93.0,True,True,21.0,21.0,0.0,72.0,21.0,0.0,72.0,21.0,0.0,1.2861839990364388,1.2768150045303628,3.19546960236039,3.187009002431296,0.40063112578480636
15,120,20,3,95.0,True,True,23.0,23.0,0.0,72.0,23.0,0.0,72.0,23.0,0.0,1.3930557965068147,1.384624993079342,3.492017596727237,3.4020809980574995,0.40699354126780846
16,120,20,3,96.0,True,True,38.0,38.0,0.0,64.0,26.0,6.0,64.0,26.0,6.0,1.062723802169785,1.0673189972294495,2.8011064045131207,2.788367011817172,0.38277565066080743
17,120,20,3,96.0,True,True,29.0,29.0,0.0,69.0,25.0,2.0,69.0,25.0,2.0,1.6946242045378312,1.7187690100399777,3.3643615985056385,3.3362590038450435,0.5151785302217525
18,120,20,3,88.0,True,True,29.0,29.0,0.0,69.0,9.0,10.0,69.0,9.0,10.0,1.3943116005975753,1.3776539999525994,3.0544163921149448,3.0666769889649004,0.44923348787953077
19,120,20,3,89.0,True,True,25.0,25.0,0.0,67.0,19.0,3.0,67.0,19.0,3.0,1.4188221975928172,1.413797988789156,2.862221802934073,2.862438006559387,0.49391392426644126
20,120,20,3,93.0,True,True,42.0,42.0,0.0,60.0,24.0,9.0,60.0,24.0,9.0,1.2187005981104448,1.190015987958759,3.1129848008276895,3.1250310130417347,0.3808013370083206
21,120,20,3,84.0,True,True,13.0,13.0,0.0,71.0,13.0,0.0,71.0,13.0,0.0,1.5445964003447443,1.515630996436812,3.7940331996651366,3.288852996774949,0.46083877811596946
22,120,20,3,87.0,True,True,21.0,21.0,0.0,71.0,11.0,5.0,71.0,11.0,5.0,1.5571474039461464,1.5911539958324283,3.359054194879718,3.3315309992758557,0.4776044395739625
23,120,20,3,89.0,True,True,21.0,21.0,0.0,68.0,21.0,0.0,68.0,21.0,0.0,1.5576352016068995,1.5378919924842194,3.4043574036331847,3.3652830024948344,0.4569874186937953
24,120,20,3,96.0,True,True,36.0,36.0,0.0,63.0,30.0,3.0,63.0,30.0,3.0,1.5813915990293026,1.586448008310981,3.434064198518172,3.489686001557857,0.45461053160736037
25,120,20,3,87.0,True,True,34.0,34.0,0.0,60.0,20.0,7.0,60.0,20.0,7.0,1.2453223986085504,1.224588995683007,3.2985568017465994,3.276515009929426,0.37374740905257864
26,120,20,3,86.0,True,True,16.0,16.0,0.0,70.0,16.0,0.0,70.0,16.0,0.0,1.387949998024851,1.395222992869094,3.091710602166131,3.0973079992691055,0.45046310964177116
27,120,20,3,91.0,True,True,40.0,40.0,0.0,60.0,22.0,9.0,60.0,22.0,9.0,1.3510535995010287,1.3459559995681047,2.975612398586236,2.963963008369319,0.4541068818225934
28,120,20,3,85.0,True,True,21.0,21.0,0.0,70.0,9.0,6.0,70.0,9.0,6.0,0.9882854006718843,0.9475829865550622,2.5705200008815154,2.5284430012106895,0.37476936838257097
29,120,20,3,95.0,True,True,41.0,41.0,0.0,62.0,25.0,8.0,62.0,25.0,8.0,1.65846100426279,1.6483439976582304,3.19622999522835,3.2089629967231303,0.5136687457416791
30,120,20,3,84.0,True,True,21.0,21.0,0.0,63.0,21.0,0.0,63.0,21.0,0.0,1.396813802421093,1.3969630090286955,3.29772719705943,3.343178002978675,0.4178548099395371
