instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,120,20,40,94.0,True,True,22.0,22.0,0.0,72.0,22.0,0.0,72.0,22.0,0.0,2.100347200757824,2.0929960010107607,7.130120997317135,7.209614006569609,0.2903062492809687
2,120,20,40,87.0,True,True,22.0,22.0,0.0,65.0,22.0,0.0,65.0,22.0,0.0,2.41508619801607,2.3881730012362823,6.324891999247484,6.259507994400337,0.38152727073321197
3,120,20,40,91.0,True,True,22.0,22.0,0.0,69.0,22.0,0.0,69.0,22.0,0.0,2.2837595926830545,2.2729859920218587,6.987271600519307,6.901695000124164,0.32933735726962243
4,120,20,40,88.0,True,True,18.0,18.0,0.0,70.0,18.0,0.0,70.0,18.0,0.0,2.7117228019051254,2.7065530011896044,7.11910700192675,7.1470760012743995,0.3786937484234108
5,120,20,40,95.0,True,True,38.0,38.0,0.0,61.0,30.0,4.0,61.0,30.0,4.0,3.2724032003898174,3.278314005001448,7.547392798005603,6.8602649989770725,0.477869879004714
6,120,20,40,88.0,True,True,16.0,16.0,0.0,72.0,16.0,0.0,72.0,16.0,0.0,2.642690800712444,2.6126709999516606,7.06133579951711,7.019677999778651,0.372192428204548
7,120,20,40,94.0,True,True,23.0,23.0,0.0,71.0,23.0,0.0,71.0,23.0,0.0,2.2243866027565673,2.184689001296647,5.97944519831799,6.035182988853194,0.36199217245470494
8,120,20,40,95.0,True,True,34.0,34.0,0.0,64.0,28.0,3.0,64.0,28.0,3.0,2.751627398538403,2.78821999381762,7.8248224017443135,7.84463100717403,0.35543035628670766
9,120,20,40,86.0,True,True,22.0,22.0,0.0,64.0,22.0,0.0,64.0,22.0,0.0,2.211154202814214,2.2482359927380458,6.392355199204758,6.280872999923304,0.35794960235073997
10,120,20,40,86.0,True,True,23.0,23.0,0.0,63.0,23.0,0.0,63.0,23.0,0.0,2.6387249963590875,2.6384779921500012,7.015496800886467,7.079283997882158,0.3727040747255414
11,120,20,40,88.0,True,True,16.0,16.0,0.0,72.0,16.0,0.0,72.0,16.0,0.0,2.75695999735035,2.686127001652494,7.712854602141306,7.695938998949714,0.34903174284763394
12,120,20,40,93.0,True,True,28.0,28.0,0.0,67.0,24.0,2.0,67.0,24.0,2.0,3.5584329976700246,2.9488479922292754,7.161690195789561,7.081967996782623,0.4163882120858147
13,120,20,40,88.0,True,True,26.0,26.0,0.0,63.0,24.0,1.0,63.0,24.0,1.0,3.180296201026067,3.140026004984975,8.07799519971013,8.08949299971573,0.3881610386578389
14,120,20,40,95.0,True,True,23.0,23.0,0.0,72.0,23.0,0.0,72.0,23.0,0.0,2.308468602132052,2.2753930097678676,6.337900797370821,6.368540998664685,0.35728638792542244
15,120,20,40,91.0,True,True,34.0,34.0,0.0,59.0,30.0,2.0,59.0,30.0,2.0,3.5936015949118882,3.57371500285808,8.131098598823883,8.166341998730786,0.43761515295508163
16,120,20,40,92.0,True,True,25.0,25.0,0.0,67.0,25.0,0.0,67.0,25.0,0.0,2.6640415948349983,2.7042829897254705,7.0495139982085675,7.085367004037835,0.38167154759723015
17,120,20,40,91.0,True,True,42.0,42.0,0.0,58.0,24.0,9.0,58.0,24.0,9.0,3.0652520013973117,3.0348820000654086,6.910587195307016,6.945052999071777,0.4369847142233512
18,120,20,40,92.0,True,True,36.0,36.0,0.0,62.0,24.0,6.0,62.0,24.0,6.0,3.8657272030832246,3.9110890065785497,9.307927402551286,8.743099009734578,0.4473344065100873
19,120,20,40,87.0,True,True,24.0,24.0,0.0,63.0,24.0,0.0,63.0,24.0,0.0,2.386280399514362,2.3422639933414757,8.04476339253597,7.979418995091692,0.2935381629642774
20,120,20,40,92.0,True,True,23.0,23.0,0.0,69.0,23.0,0.0,69.0,23.0,0.0,2.376119201653637,2.3789050028426573,5.614467599662021,5.576929994276725,0.42656174728461493
21,120,20,40,92.0,True,True,28.0,28.0,0.0,66.0,24.0,2.0,66.0,24.0,2.0,2.5830564030911773,2.5822790048550814,6.343913802993484,6.229899008758366,0.4144977312191993
22,120,20,40,93.0,True,True,28.0,28.0,0.0,65.0,28.0,0.0,65.0,28.0,0.0,2.4022637982852757,2.3798259935574606,6.371063998085447,6.372025003656745,0.3734803288109727
23,120,20,40,87.0,True,True,24.0,24.0,0.0,64.0,22.0,1.0,64.0,22.0,1.0,3.2636720046866685,3.2867110130609944,7.7425808034604415,7.548972003860399,0.4353852433656177
24,120,20,40,88.0,True,True,25.0,25.0,0.0,63.0,25.0,0.0,63.0,25.0,0.0,2.432599395979196,2.4440219858661294,6.299033801769838,6.34682500094641,0.3850778909930064
25,120,20,40,84.0,True,True,16.0,16.0,0.0,68.0,16.0,0.0,68.0,16.0,0.0,2.4444158014375716,2.4481430009473115,7.797074998961762,7.747837997158058,0.31597756714134984
26,120,20,40,85.0,True,True,16.0,16.0,0.0,69.0,16.0,0.0,69.0,16.0,0.0,3.03533700061962,2.566586001194082,7.096483398345299,7.214307988760993,0.3557632977677843
27,120,20,40,91.0,True,True,26.0,26.0,0.0,66.0,24.0,1.0,66.0,24.0,1.0,3.3601076022023335,3.356804998475127,7.536995800910518,7.568004992208444,0.4435521649273605
28,120,20,40,90.0,True,True,21.0,21.0,0.0,69.0,21.0,0.0,69.0,21.0,0.0,2.535057603381574,2.5412230024812743,7.242969601065852,7.231979994685389,0.35138689602968465
29,120,20,40,92.0,True,True,30.0,30.0,0.0,65.0,24.0,3.0,65.0,24.0,3.0,3.65617880015634,3.734692989382893,7.639271405059844,7.635734000359662,0.489107267121534
30,120,20,40,88.0,True,True,25.0,25.0,0.0,63.0,25.0,0.0,63.0,25.0,0.0,2.637823997065425,2.658297002199106,8.220402398728766,7.678214999032207,0.3462128896539324
