instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,300,50,12,230.0,True,True,57.0,57.0,0.0,173.0,57.0,0.0,173.0,57.0,0.0,7.269990802160464,7.265284002642147,37.14162360120099,36.71731300710235,0.19787079738751034
2,300,50,12,227.0,True,True,74.0,74.0,0.0,160.0,60.0,7.0,160.0,60.0,7.0,10.497498803306371,9.864500010735355,36.71698840043973,36.642979001044296,0.26920573271224
3,300,50,12,219.0,True,True,41.0,41.0,0.0,178.0,41.0,0.0,178.0,41.0,0.0,6.772564601851627,6.766827005776577,33.89203560072929,33.820896001998335,0.20007828903695377
4,300,50,12,228.0,True,True,49.0,49.0,0.0,179.0,49.0,0.0,179.0,49.0,0.0,7.497305399738252,7.349398001679219,39.72810299892444,39.79028499452397,0.18470332652029658
5,300,50,12,222.0,True,True,55.0,55.0,0.0,167.0,55.0,0.0,167.0,55.0,0.0,6.8304762040497735,6.781525997212157,32.749905198579654,32.09451198927127,0.21129861701835886
6,300,50,12,211.0,True,True,50.0,50.0,0.0,161.0,50.0,0.0,161.0,50.0,0.0,7.126317001529969,7.059038005536422,32.266126602189615,32.1928939956706,0.21927317272208405
7,300,50,12,210.0,True,True,52.0,52.0,0.0,158.0,52.0,0.0,158.0,52.0,0.0,7.143804401857778,7.1694040088914335,33.27208300179336,33.209924993570894,0.2158813670997257
8,300,50,12,210.0,True,True,54.0,54.0,0.0,156.0,54.0,0.0,156.0,54.0,0.0,7.047166398842819,7.034241003566422,36.74684360448737,36.880813000607304,0.19072901140901072
9,300,50,12,228.0,True,True,96.0,96.0,0.0,150.0,60.0,18.0,150.0,60.0,18.0,9.859070798847824,9.283306993893348,41.400695001357235,41.63831598998513,0.22295106738049092
10,300,50,12,238.0,True,True,80.0,80.0,0.0,167.0,62.0,9.0,167.0,62.0,9.0,8.807350401184522,8.784845005720854,35.71312739804853,35.722005006391555,0.2459225064256339
11,300,50,12,214.0,True,True,60.0,60.0,0.0,154.0,60.0,0.0,154.0,60.0,0.0,6.269578795763664,6.296779989497736,33.53697060083505,33.573433000128716,0.18755246118183969
12,300,50,12,236.0,True,True,89.0,89.0,0.0,157.0,69.0,10.0,157.0,69.0,10.0,8.474492595996708,8.362145992578007,35.526396802742966,34.90224000415765,0.23958765946202554
13,300,50,12,222.0,True,True,61.0,61.0,0.0,161.0,61.0,0.0,161.0,61.0,0.0,8.42498880228959,8.88483101152815,39.206200194894336,38.81805999844801,0.22888395277567647
14,300,50,12,224.0,True,True,67.0,67.0,0.0,157.0,67.0,0.0,157.0,67.0,0.0,7.707396798650734,7.683186006033793,42.38957820052747,42.52679800265469,0.1806669292513906
15,300,50,12,237.0,True,True,101.0,101.0,0.0,153.0,67.0,17.0,153.0,67.0,17.0,8.896179802832194,8.87938700907398,41.291240000282414,41.33713700866792,0.21480411203156316
16,300,50,12,227.0,True,True,64.0,64.0,0.0,164.0,62.0,1.0,164.0,62.0,1.0,10.74991759378463,10.157818993320689,44.17563079914544,43.874483002582565,0.2315199701093406
17,300,50,12,212.0,True,True,60.0,60.0,0.0,152.0,60.0,0.0,152.0,60.0,0.0,7.772811996983364,7.746118004433811,32.53064259770326,32.131269996170886,0.24107724361212374
18,300,50,12,229.0,True,True,59.0,59.0,0.0,172.0,55.0,2.0,172.0,55.0,2.0,7.825523198698647,7.89164200250525,31.67013700294774,31.858131012995727,0.24771202049756316
19,300,50,12,213.0,True,True,40.0,40.0,0.0,173.0,40.0,0.0,173.0,40.0,0.0,6.48559580440633,6.459775002440438,34.68819200643338,34.26931001013145,0.18850029371850954
20,300,50,12,226.0,True,True,61.0,61.0,0.0,165.0,61.0,0.0,165.0,61.0,0.0,8.906538202427328,8.898689004126936,41.312461803318,41.238003002945334,0.21578855318215498
21,300,50,12,211.0,True,True,43.0,43.0,0.0,170.0,39.0,2.0,170.0,39.0,2.0,9.046865400159732,8.975438002380542,39.04628419550136,39.61613499268424,0.22656016302544413
