jobs,intervals,level,runtime_ratio,folder
10,3,light,0.502037,jobs_10_intervals_3_light
10,3,sparse,0.507495,jobs_10_intervals_3_sparse
10,5,medium,0.543398,jobs_10_intervals_5_medium
10,10,dense,0.629885,jobs_10_intervals_10_dense
10,20,very_dense,0.815304,jobs_10_intervals_20_very_dense
20,3,sparse,1.394321,jobs_20_intervals_3_sparse
20,5,light,1.527255,jobs_20_intervals_5_light
20,10,medium,1.619294,jobs_20_intervals_10_medium
20,20,dense,1.870425,jobs_20_intervals_20_dense
20,40,very_dense,2.740181,jobs_20_intervals_40_very_dense
50,5,sparse,7.29579,jobs_50_intervals_5_sparse
50,12,light,7.802554,jobs_50_intervals_12_light
50,25,medium,8.700144,jobs_50_intervals_25_medium
50,50,dense,11.407827,jobs_50_intervals_50_dense
50,100,very_dense,15.890037,jobs_50_intervals_100_very_dense
100,10,sparse,32.871618,jobs_100_intervals_10_sparse
100,25,light,33.981991,jobs_100_intervals_25_light
100,50,medium,38.214144,jobs_100_intervals_50_medium
100,100,dense,43.825057,jobs_100_intervals_100_dense
100,200,very_dense,66.173902,jobs_100_intervals_200_very_dense
200,20,sparse,141.390604,jobs_200_intervals_20_sparse
