instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,5,6.0,True,True,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.12553124943224248,0.12349999815342017,0.17106449922721367,0.16895850058062933,0.7309487106538582
2,60,10,9,58.0,True,True,49.0,49.0,0.0,31.0,5.0,22.0,31.0,5.0,22.0,0.4940664999594446,0.4849580000154674,0.8190352502424503,0.8107709982141387,0.5981442368852241
3,24,13,8,23.0,True,True,13.0,13.0,0.0,13.0,7.0,3.0,13.0,7.0,3.0,0.5770750001829583,0.5664789969159756,0.8221227984904544,0.8174994982255157,0.6929410943316646
4,26,8,10,25.0,True,True,23.0,23.0,0.0,13.0,1.0,11.0,13.0,1.0,11.0,0.29207084844529163,0.2899584978877101,0.4368625501228962,0.4298960011510644,0.6744852176138745
5,40,8,11,39.0,True,True,33.0,33.0,0.0,22.0,1.0,16.0,22.0,1.0,16.0,0.3909333998308284,0.3883124991261866,0.677027150959475,0.6672495001112111,0.5819599700883495
6,31,11,5,29.0,True,True,20.0,20.0,0.0,16.0,6.0,7.0,16.0,6.0,7.0,0.47352300061902497,0.463708503957605,0.6666248496912885,0.6632914992223959,0.6991021360913409
7,39,13,6,38.0,True,True,26.0,26.0,0.0,21.0,8.0,9.0,21.0,8.0,9.0,0.7362812990322709,0.7263750012498349,1.130554151313845,1.122020505135879,0.6473812180124725
8,48,14,5,48.0,True,True,27.0,27.0,0.0,25.0,19.0,4.0,25.0,19.0,4.0,0.7495167501474498,0.735124500351958,1.2779229004081571,1.2654789970838465,0.5809061249107803
9,23,9,9,23.0,True,True,13.0,13.0,0.0,13.0,7.0,3.0,13.0,7.0,3.0,0.44623969988606405,0.4405629988468718,0.488735199905932,0.47960400115698576,0.918597421589619
10,60,12,8,58.0,True,True,30.0,30.0,0.0,31.0,24.0,3.0,31.0,24.0,3.0,0.5223147007200168,0.5136250001669396,0.91682514976128,0.9033130008901935,0.5686013592860663
11,37,5,9,6.0,True,True,2.0,2.0,0.0,5.0,0.0,1.0,5.0,0.0,1.0,0.12711874987871852,0.12564599819597788,0.1378209504764527,0.13722949734074064,0.9155903113453739
12,34,9,12,34.0,True,True,18.0,18.0,0.0,17.0,16.0,1.0,17.0,16.0,1.0,0.3803001502092229,0.3728334995685145,0.6055520007066661,0.60374999884516,0.6175296070917804
13,53,10,5,53.0,True,True,26.0,26.0,0.0,28.0,24.0,1.0,28.0,24.0,1.0,0.457166750493343,0.44818749665864743,0.8025751008972293,0.7950414983497467,0.5637284312692383
14,52,14,12,51.0,True,True,24.0,24.0,0.0,28.0,22.0,1.0,28.0,22.0,1.0,0.8383001004403923,0.8313130019814707,1.643933700324851,1.6375839986721985,0.5076460216120358
15,56,15,8,53.0,True,True,29.0,29.0,0.0,28.0,21.0,4.0,28.0,21.0,4.0,0.7446874991728691,0.7326459999603685,1.4128749004157726,1.4123750042926986,0.5187333376288894
16,43,15,10,43.0,True,True,36.0,36.0,0.0,22.0,6.0,15.0,22.0,6.0,15.0,0.7413104995066533,0.7273544979398139,1.363775099889608,1.3625210012833122,0.5338299352852128
17,47,15,7,45.0,True,True,22.0,22.0,0.0,26.0,16.0,3.0,26.0,16.0,3.0,0.8272915994893992,0.8097294958133716,1.4442354000493651,1.4408125025511254,0.5619950509727336
18,21,7,11,21.0,True,True,12.0,12.0,0.0,11.0,8.0,2.0,11.0,8.0,2.0,0.4016271501313895,0.394812501326669,0.4544186500424985,0.4478959999687504,0.8814825346826384
19,51,11,10,49.0,True,True,31.0,31.0,0.0,26.0,15.0,8.0,26.0,15.0,8.0,0.7442374000675045,0.7299374992726371,1.1365353500877973,1.1351040011504665,0.6430578154361368
20,49,14,9,49.0,True,True,41.0,41.0,0.0,25.0,7.0,17.0,25.0,7.0,17.0,0.675129199953517,0.6631454962189309,1.2980001003597863,1.296583501243731,0.5114560655621617
21,31,14,12,29.0,True,True,23.0,23.0,0.0,17.0,1.0,11.0,17.0,1.0,11.0,0.5529790501896059,0.5437494983198121,0.9403501499036793,0.9386040037497878,0.5793172585536556
22,35,9,7,33.0,True,True,27.0,27.0,0.0,18.0,3.0,12.0,18.0,3.0,12.0,0.4581229488394456,0.45227100054034963,0.6052333999832626,0.5985000025248155,0.7556741831786328
23,36,5,11,29.0,True,True,18.0,18.0,0.0,19.0,2.0,8.0,19.0,2.0,8.0,0.2688104988919804,0.2659999991010409,0.337585351371672,0.3306245016574394,0.8045380719443592
24,56,7,6,40.0,True,True,9.0,9.0,0.0,31.0,9.0,0.0,31.0,9.0,0.0,0.2551667010266101,0.2534375016693957,1.3919958488258999,0.9106249999604188,0.27831160102172864
25,39,7,12,37.0,True,True,23.0,23.0,0.0,20.0,11.0,6.0,20.0,11.0,6.0,0.3707873995153932,0.35875050161848776,0.5599167998298071,0.5530630005523562,0.6486611855434113
26,40,14,5,40.0,True,True,35.0,35.0,0.0,20.0,5.0,15.0,20.0,5.0,15.0,0.595760300711845,0.5843120015924796,0.9385750490764622,0.9351454973511863,0.6248353900516573
27,40,14,12,39.0,True,True,23.0,23.0,0.0,22.0,11.0,6.0,22.0,11.0,6.0,0.7648832503036829,0.7517295016441494,1.2168770506832516,1.2154165015090257,0.6184953887912695
28,29,9,7,28.0,True,True,23.0,23.0,0.0,15.0,3.0,10.0,15.0,3.0,10.0,0.2490769005817128,0.24737450075917877,0.3888123501383234,0.3815830023086164,0.648284905937994
29,49,15,12,49.0,True,True,32.0,32.0,0.0,26.0,14.0,9.0,26.0,14.0,9.0,1.0689167487726081,1.0603124974295497,1.5337436001573224,1.5321249993576203,0.6920535190497582
30,57,12,12,54.0,True,True,44.0,44.0,0.0,28.0,8.0,18.0,28.0,8.0,18.0,0.7655854013137287,0.7487915027013514,1.365229150178493,1.3635625000461005,0.5491435139027625
