instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,5,6.0,True,True,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.12164989893790334,0.11952099885093048,0.16408534938818775,0.16300049901474267,0.7332554168445848
2,60,10,6,52.0,True,True,20.0,20.0,0.0,32.0,20.0,0.0,32.0,20.0,0.0,0.458810349664418,0.445103993115481,0.8288604512927122,0.8193335015675984,0.5432513039731454
3,27,10,10,24.0,True,True,11.0,11.0,0.0,14.0,9.0,1.0,14.0,9.0,1.0,0.5076312983874232,0.4952289964421652,0.665179050702136,0.6574375001946464,0.7532715981299266
4,23,15,10,20.0,True,True,15.0,15.0,0.0,12.0,1.0,7.0,12.0,1.0,7.0,0.48502069839742035,0.47931199515005574,0.7249811991641764,0.709416504832916,0.6756425765184937
5,40,8,11,35.0,True,True,25.0,25.0,0.0,22.0,1.0,12.0,22.0,1.0,12.0,0.3675540974654723,0.360332996933721,0.5228667003393639,0.5107500110170804,0.7054977761354778
6,31,11,5,26.0,True,True,14.0,14.0,0.0,16.0,6.0,4.0,16.0,6.0,4.0,0.465085449104663,0.45418749505188316,0.6516749977890868,0.6496874993899837,0.6990860921263485
7,39,13,12,34.0,True,True,18.0,18.0,0.0,21.0,8.0,5.0,21.0,8.0,5.0,0.6390291979187168,0.6273539911489934,1.0347562994866166,1.0267710022162646,0.6109969893918531
8,30,12,9,27.0,True,True,14.0,14.0,0.0,16.0,8.0,3.0,16.0,8.0,3.0,0.5419603010523133,0.5326665050233714,0.7507979513320606,0.7495625031879172,0.7106365416598629
9,36,11,10,32.0,True,True,17.0,17.0,0.0,20.0,7.0,5.0,20.0,7.0,5.0,0.47487724950769916,0.46345849841600284,0.7956980989547446,0.7907084946054965,0.586130668353618
10,57,9,9,50.0,True,True,22.0,22.0,0.0,28.0,22.0,0.0,28.0,22.0,0.0,0.4027437506010756,0.39818799996282905,0.734560503042303,0.7236880046548322,0.5502205334365705
11,36,12,9,31.0,True,True,13.0,13.0,0.0,20.0,9.0,2.0,20.0,9.0,2.0,0.6671229522908106,0.6564165087183937,0.8283687006041873,0.8218540024245158,0.7987020891568671
