from,to,flow,capacity
0,1,2,2
0,2,3,3
0,3,1,1
0,4,2,2
0,8,2,2
0,10,1,1
1,0,0,4
1,12,0,1
1,13,0,1
1,14,0,1
1,15,2,3
1,16,0,7
1,17,0,4
2,0,0,2
2,20,0,1
2,21,0,5
2,22,0,11
2,23,2,2
2,24,0,2
2,25,0,4
2,26,0,8
2,27,1,1
2,29,0,1
3,0,0,5
3,11,0,1
3,12,0,1
3,13,0,1
3,14,0,1
3,15,0,3
3,16,2,7
3,17,0,4
3,18,0,4
3,19,0,1
3,20,0,1
3,21,0,4
3,22,0,7
3,23,0,2
4,21,1,5
4,22,0,11
4,23,0,2
4,24,0,2
4,25,1,4
5,0,0,6
5,22,0,5
5,23,0,2
5,24,0,2
5,25,0,4
5,26,0,8
5,27,0,1
6,0,0,4
6,17,0,4
6,18,0,4
6,19,0,1
6,20,0,1
6,21,0,1
6,22,0,11
7,0,0,6
7,21,0,5
7,22,0,10
7,23,0,2
7,24,0,2
7,25,0,4
7,26,0,4
8,0,0,4
8,14,0,1
8,15,0,3
8,16,0,7
8,17,2,4
8,18,0,4
8,19,0,1
8,20,0,1
8,21,0,5
8,22,0,11
8,23,0,2
8,24,0,2
8,25,0,4
8,26,0,4
8,27,0,1
8,28,0,2
9,0,0,6
9,13,0,1
9,14,0,1
9,15,0,3
9,16,2,7
9,17,0,4
9,18,0,4
9,19,0,1
9,20,0,1
9,21,0,5
9,22,0,11
9,23,0,2
9,24,0,2
9,26,0,8
9,28,0,2
10,0,0,5
10,16,1,7
10,17,2,4
10,18,0,4
10,20,0,1
10,21,0,5
10,22,0,11
15,30,2,3
16,30,5,7
17,30,4,4
18,1,0,4
19,10,0,1
20,7,0,1
21,3,1,1
21,6,0,4
22,3,0,4
22,5,0,6
22,7,0,1
23,10,2,2
24,10,0,2
25,9,1,4
26,7,0,4
26,8,0,4
27,9,1,1
28,2,0,2
29,9,0,1
30,18,0,4
30,19,0,1
30,20,0,1
30,21,0,5
30,22,0,11
30,23,0,2
30,24,0,2
30,25,0,4
30,26,0,8
30,27,0,1
30,28,0,2
30,29,0,1
