Job,Interval,Start,End,Energy,Flow
J3,I4,4.0,7.0,brown,2
J3,I7,18.0,22.0,green,4
J10,I12,40.0,42.0,green,2
J10,I16,56.0,57.0,green,1
J10,I17,57.0,59.0,green,2
J1,I5,7.0,14.0,brown,2
J1,I11,29.0,40.0,green,4
J7,I10,24.0,29.0,green,1
J7,I14,44.0,48.0,green,1
J8,I11,29.0,40.0,green,6
J6,I10,24.0,29.0,green,4
J9,I9,23.0,24.0,green,1
J9,I11,29.0,40.0,green,1
J9,I15,48.0,56.0,green,4
J2,I6,14.0,18.0,brown,2
J2,I15,48.0,56.0,green,4
J5,I5,7.0,14.0,brown,2
J5,I14,44.0,48.0,green,3
J5,I18,59.0,60.0,green,1
J4,I5,7.0,14.0,brown,1
J4,I6,14.0,18.0,brown,2
J4,I8,22.0,23.0,green,1
J4,I13,42.0,44.0,green,2
