Job,Interval,Start,End,Energy,Flow
J622,I1085,2761.0,2770.0,green,1
J622,I1148,2912.0,2914.0,brown,2
J622,I1181,3020.0,3021.0,green,1
J622,I1629,4346.0,4347.0,brown,1
J622,I1661,4424.0,4425.0,brown,1
J977,I2232,5759.0,5761.0,brown,1
J977,I2256,5805.0,5806.0,brown,1
J977,I2273,5841.0,5845.0,green,1
J977,I2289,5872.0,5877.0,green,3
J161,I459,881.0,885.0,green,3
J161,I938,2316.0,2322.0,brown,1
J699,I1001,2517.0,2520.0,brown,3
J699,I1097,2801.0,2803.0,brown,1
J699,I1994,5222.0,5230.0,green,2
J589,I1141,2899.0,2902.0,green,2
J109,I1586,4200.0,4203.0,brown,1
J109,I2163,5616.0,5622.0,green,4
J873,I1824,4825.0,4826.0,brown,1
J873,I2241,5774.0,5776.0,green,1
J873,I2273,5841.0,5845.0,green,2
J122,I574,1231.0,1232.0,green,1
J122,I606,1310.0,1313.0,green,1
J492,I462,891.0,897.0,brown,1
J492,I1135,2878.0,2888.0,green,2
J516,I1048,2662.0,2666.0,green,1
J516,I1336,3475.0,3493.0,green,2
J355,I409,777.0,790.0,green,1
J355,I856,2073.0,2076.0,brown,1
J355,I889,2160.0,2164.0,green,3
J209,I212,379.0,380.0,green,1
J209,I244,445.0,454.0,green,2
J272,I449,859.0,861.0,brown,2
J272,I545,1165.0,1167.0,brown,2
J272,I577,1234.0,1236.0,brown,1
J272,I1025,2581.0,2583.0,brown,1
J905,I1716,4580.0,4583.0,green,3
J905,I1780,4721.0,4724.0,green,1
J905,I2264,5818.0,5824.0,green,2
J439,I505,1035.0,1044.0,green,6
J538,I1218,3128.0,3132.0,brown,1
J538,I1699,4523.0,4537.0,green,2
J115,I330,605.0,608.0,green,2
J115,I585,1252.0,1256.0,brown,1
J115,I906,2224.0,2235.0,green,3
J385,I1135,2878.0,2888.0,green,1
J2,I321,585.0,590.0,green,2
J2,I897,2179.0,2185.0,green,2
J816,I1193,3054.0,3056.0,brown,1
J816,I1433,3770.0,3772.0,brown,1
J304,I832,2007.0,2016.0,green,3
J304,I1016,2550.0,2556.0,green,1
J854,I579,1238.0,1245.0,green,1
J854,I930,2297.0,2298.0,brown,1
J90,I529,1118.0,1120.0,green,1
J90,I843,2038.0,2040.0,green,1
J90,I849,2046.0,2051.0,green,1
J962,I1775,4709.0,4710.0,green,1
J962,I1999,5236.0,5239.0,green,1
J962,I2127,5555.0,5558.0,green,1
J983,I1472,3903.0,3908.0,green,1
J983,I2176,5644.0,5645.0,green,1
J983,I2272,5839.0,5841.0,green,2
J983,I2288,5868.0,5872.0,green,1
J672,I777,1854.0,1861.0,green,3
J672,I2041,5341.0,5342.0,green,1
J672,I2073,5428.0,5429.0,green,1
J639,I901,2193.0,2197.0,brown,1
J451,I288,532.0,534.0,green,1
J451,I512,1063.0,1067.0,green,1
J451,I1119,2849.0,2852.0,brown,3
J632,I326,599.0,600.0,green,1
J632,I1469,3891.0,3892.0,green,1
J632,I1501,3966.0,3973.0,green,3
J215,I486,975.0,977.0,green,2
J215,I614,1331.0,1341.0,green,2
J215,I806,1927.0,1930.0,green,1
J849,I944,2336.0,2337.0,brown,1
J849,I1521,4016.0,4019.0,green,2
J849,I1744,4649.0,4654.0,brown,2
J871,I1557,4123.0,4129.0,green,2
J349,I741,1739.0,1742.0,green,2
J349,I1412,3702.0,3705.0,brown,2
J349,I1571,4167.0,4170.0,green,2
J713,I382,716.0,720.0,green,1
J713,I606,1310.0,1313.0,green,1
J580,I995,2502.0,2504.0,green,1
J580,I1059,2693.0,2703.0,green,4
J580,I1515,3999.0,4004.0,green,1
J145,I335,614.0,615.0,brown,1
J145,I431,831.0,832.0,brown,1
J113,I88,146.0,149.0,green,2
J527,I913,2249.0,2250.0,green,1
J527,I977,2457.0,2458.0,green,1
J527,I1137,2890.0,2892.0,green,1
J527,I2033,5311.0,5316.0,green,2
J527,I2323,5931.0,5932.0,green,1
J994,I1980,5185.0,5186.0,green,1
J994,I2236,5764.0,5766.0,green,1
J765,I1662,4425.0,4427.0,brown,1
J765,I1790,4748.0,4754.0,brown,1
J765,I2005,5249.0,5250.0,green,1
J152,I319,581.0,583.0,brown,1
J152,I640,1400.0,1403.0,green,1
J152,I2032,5308.0,5311.0,green,2
J885,I1294,3344.0,3347.0,green,2
J885,I2062,5383.0,5398.0,green,2
J460,I1111,2834.0,2838.0,brown,1
J460,I1208,3098.0,3102.0,green,1
J460,I1837,4852.0,4860.0,green,1
J460,I1973,5166.0,5169.0,green,1
J460,I1986,5200.0,5202.0,green,2
J592,I1083,2754.0,2757.0,green,3
J529,I600,1293.0,1294.0,brown,1
J529,I632,1386.0,1387.0,brown,1
J529,I760,1792.0,1794.0,brown,2
J993,I456,873.0,877.0,green,2
J993,I520,1081.0,1083.0,green,1
J993,I903,2199.0,2201.0,brown,1
J993,I1320,3415.0,3428.0,green,1
J993,I2325,5934.0,5935.0,green,1
J143,I118,202.0,204.0,brown,1
J143,I919,2257.0,2261.0,green,4
J742,I417,804.0,806.0,green,2
J742,I1473,3908.0,3909.0,green,1
J742,I1569,4157.0,4164.0,green,2
J342,I934,2303.0,2308.0,brown,2
J732,I1372,3585.0,3590.0,green,4
J821,I1635,4358.0,4359.0,brown,1
J821,I2115,5532.0,5536.0,brown,3
J15,I672,1523.0,1528.0,green,1
J15,I1984,5197.0,5199.0,green,1
J15,I2288,5868.0,5872.0,green,1
J15,I2304,5895.0,5896.0,green,1
J960,I1780,4721.0,4724.0,green,1
J960,I1812,4799.0,4800.0,green,1
J792,I1151,2916.0,2919.0,green,2
J792,I1758,4681.0,4683.0,brown,2
J390,I485,973.0,975.0,green,1
J390,I869,2104.0,2111.0,green,1
J390,I1557,4123.0,4129.0,green,4
J31,I518,1077.0,1080.0,green,1
J31,I678,1551.0,1555.0,green,1
J31,I933,2302.0,2303.0,brown,1
J758,I833,2016.0,2023.0,green,1
J758,I1249,3224.0,3228.0,green,1
J758,I1685,4492.0,4496.0,green,2
J362,I427,822.0,824.0,green,2
J362,I1003,2522.0,2527.0,brown,1
J362,I1891,4970.0,4975.0,green,1
J533,I1166,2958.0,2960.0,green,2
J533,I1422,3742.0,3745.0,green,1
J200,I90,151.0,152.0,green,1
J200,I122,207.0,208.0,brown,1
J200,I282,520.0,523.0,brown,2
J200,I762,1797.0,1801.0,green,1
J200,I826,1985.0,1988.0,green,1
J315,I1068,2720.0,2723.0,brown,1
J315,I1293,3341.0,3344.0,green,1
J315,I1733,4626.0,4631.0,green,1
J315,I2061,5382.0,5383.0,green,1
J42,I91,152.0,153.0,green,1
J42,I155,265.0,272.0,green,1
J42,I827,1988.0,1992.0,green,2
J95,I150,255.0,258.0,green,2
J95,I405,768.0,771.0,brown,1
J95,I469,920.0,924.0,brown,1
J95,I2038,5331.0,5335.0,green,1
J95,I2242,5776.0,5780.0,green,1
J147,I118,202.0,204.0,brown,1
J147,I247,458.0,459.0,green,1
J147,I555,1184.0,1190.0,green,3
J972,I1252,3236.0,3245.0,green,1
J972,I1572,4170.0,4175.0,green,1
J972,I2276,5849.0,5850.0,green,1
J659,I319,581.0,583.0,brown,1
J659,I1392,3644.0,3655.0,green,3
J659,I1685,4492.0,4496.0,green,2
J797,I847,2043.0,2045.0,green,1
J797,I878,2138.0,2139.0,brown,1
J211,I325,598.0,599.0,green,1
J211,I357,664.0,671.0,green,3
J812,I695,1596.0,1598.0,brown,1
J812,I759,1787.0,1792.0,brown,1
J812,I2266,5826.0,5831.0,green,2
J358,I534,1134.0,1138.0,green,4
J861,I338,617.0,619.0,brown,2
J861,I370,692.0,695.0,brown,2
J861,I1235,3179.0,3187.0,green,1
J861,I2067,5409.0,5411.0,green,1
J734,I244,445.0,454.0,green,2
J734,I435,835.0,838.0,brown,1
J975,I1522,4019.0,4026.0,green,4
J608,I1477,3918.0,3919.0,green,1
J608,I1541,4080.0,4082.0,green,1
J608,I1797,4770.0,4771.0,green,1
J864,I211,373.0,379.0,green,1
J864,I1170,2967.0,2970.0,brown,2
J864,I1643,4379.0,4385.0,green,1
J864,I2003,5244.0,5248.0,green,1
J864,I2067,5409.0,5411.0,green,1
J108,I21,35.0,37.0,green,2
J921,I1569,4157.0,4164.0,green,2
J921,I1920,5039.0,5042.0,brown,2
J921,I1937,5079.0,5084.0,green,1
J921,I2065,5401.0,5402.0,green,1
J452,I1151,2916.0,2919.0,green,1
J452,I1247,3212.0,3220.0,green,4
J452,I1262,3264.0,3266.0,brown,1
J410,I1393,3655.0,3663.0,green,1
J410,I1617,4291.0,4300.0,green,3
J25,I190,334.0,337.0,green,1
J25,I286,526.0,528.0,green,1
J338,I1576,4181.0,4182.0,green,1
J338,I2249,5789.0,5791.0,green,2
J338,I2264,5818.0,5824.0,green,1
J918,I489,986.0,989.0,brown,1
J918,I2186,5657.0,5659.0,green,1
J692,I1040,2629.0,2635.0,green,5
J57,I153,261.0,262.0,green,1
J57,I189,333.0,334.0,brown,1
J57,I793,1888.0,1897.0,green,3
J220,I134,222.0,224.0,green,1
J220,I1734,4631.0,4633.0,green,2
J749,I737,1727.0,1732.0,green,2
J749,I960,2385.0,2387.0,brown,1
J749,I1088,2774.0,2776.0,brown,1
J218,I589,1262.0,1263.0,brown,1
J218,I718,1669.0,1675.0,green,2
J676,I907,2235.0,2239.0,green,4
J676,I1419,3725.0,3733.0,green,2
J892,I1488,3945.0,3948.0,green,2
J396,I570,1222.0,1223.0,green,1
J396,I666,1502.0,1513.0,green,2
J396,I794,1897.0,1898.0,green,1
J518,I765,1805.0,1808.0,green,1
J518,I829,1993.0,1996.0,green,2
J900,I1945,5095.0,5103.0,green,2
J900,I1997,5233.0,5234.0,green,1
J900,I2021,5286.0,5288.0,green,1
J900,I2085,5461.0,5462.0,green,1
J463,I1038,2627.0,2628.0,green,1
J463,I1134,2875.0,2878.0,green,3
J463,I1178,2996.0,3010.0,green,1
J414,I1388,3630.0,3634.0,green,4
J414,I1452,3822.0,3825.0,green,1
J520,I1152,2919.0,2923.0,green,1
J520,I1248,3220.0,3224.0,green,3
J268,I481,960.0,961.0,green,1
J268,I766,1808.0,1819.0,green,2
J268,I963,2394.0,2398.0,green,1
J711,I1526,4036.0,4038.0,green,1
J711,I1974,5169.0,5171.0,green,1
J711,I2102,5492.0,5498.0,green,4
J750,I797,1900.0,1907.0,brown,2
J750,I1854,4889.0,4893.0,green,2
J750,I2238,5768.0,5771.0,green,2
J777,I1828,4829.0,4830.0,brown,1
J323,I221,399.0,408.0,green,4
J323,I1213,3119.0,3121.0,green,1
J611,I459,881.0,885.0,green,1
J611,I650,1435.0,1443.0,brown,3
J611,I1539,4068.0,4074.0,green,1
J611,I1667,4436.0,4446.0,green,1
J19,I711,1646.0,1648.0,brown,1
J19,I1994,5222.0,5230.0,green,1
J350,I156,272.0,274.0,green,2
J350,I220,397.0,399.0,green,2
J350,I676,1533.0,1548.0,green,1
J787,I1791,4754.0,4756.0,green,1
J787,I1855,4893.0,4894.0,green,1
J787,I1951,5121.0,5123.0,green,1
J787,I2015,5266.0,5269.0,green,2
J858,I689,1583.0,1585.0,brown,1
J858,I1458,3858.0,3862.0,green,1
J858,I2258,5807.0,5808.0,green,1
J858,I2261,5812.0,5814.0,green,2
J298,I604,1306.0,1309.0,brown,1
J298,I636,1395.0,1396.0,brown,1
J298,I701,1615.0,1625.0,green,1
J301,I557,1191.0,1197.0,green,3
J301,I973,2431.0,2442.0,green,1
J301,I1037,2625.0,2627.0,green,1
J151,I265,489.0,490.0,green,1
J151,I305,557.0,561.0,green,1
J151,I321,585.0,590.0,green,1
J151,I329,603.0,605.0,green,2
J151,I425,820.0,821.0,green,1
J486,I759,1787.0,1792.0,brown,1
J486,I1208,3098.0,3102.0,green,3
J775,I1472,3903.0,3908.0,green,2
J775,I2034,5316.0,5322.0,green,3
J775,I2066,5402.0,5409.0,green,1
J847,I282,520.0,523.0,brown,1
J847,I890,2164.0,2166.0,brown,1
J847,I2219,5720.0,5724.0,green,2
J847,I2267,5831.0,5832.0,green,1
J847,I2315,5919.0,5920.0,green,1
J416,I715,1655.0,1663.0,green,3
J927,I1613,4268.0,4280.0,green,5
J986,I1529,4040.0,4048.0,green,1
J986,I1753,4668.0,4672.0,green,2
J986,I1945,5095.0,5103.0,green,1
J986,I2305,5896.0,5899.0,green,1
J986,I2321,5929.0,5930.0,green,1
J225,I390,730.0,738.0,green,5
J225,I454,867.0,872.0,green,1
J208,I191,337.0,339.0,green,1
J912,I873,2130.0,2131.0,brown,1
J912,I2362,5984.0,5985.0,green,1
J84,I162,284.0,288.0,brown,4
J84,I418,806.0,810.0,brown,2
J786,I774,1845.0,1851.0,green,5
J528,I1132,2869.0,2870.0,green,1
