Job,Interval,Start,End,Energy,Flow
J915,I1337,4914.0,4916.0,green,1
J915,I1513,5496.0,5500.0,brown,2
J553,I1501,5466.0,5468.0,brown,1
J553,I1511,5491.0,5494.0,brown,1
J553,I1521,5515.0,5518.0,brown,1
J553,I1522,5518.0,5524.0,brown,1
J553,I1559,5604.0,5606.0,brown,1
J553,I1714,5953.0,5955.0,green,1
J197,I34,55.0,57.0,green,2
J197,I66,126.0,128.0,green,1
J197,I226,527.0,533.0,green,1
J110,I224,513.0,516.0,green,3
J912,I1253,4611.0,4617.0,brown,3
J912,I1606,5724.0,5728.0,green,2
J912,I1654,5840.0,5841.0,brown,1
J890,I1276,4698.0,4709.0,green,1
J890,I1404,5166.0,5168.0,green,1
J147,I316,792.0,793.0,brown,1
J147,I348,891.0,904.0,brown,1
J147,I381,992.0,998.0,green,4
J988,I1195,4400.0,4401.0,green,1
J988,I1323,4850.0,4852.0,green,1
J988,I1355,4977.0,4983.0,green,3
J988,I1575,5645.0,5647.0,brown,1
J37,I845,2958.0,2963.0,green,1
J277,I347,885.0,891.0,brown,4
J520,I418,1104.0,1111.0,brown,1
J520,I643,1952.0,1973.0,green,3
J520,I674,2094.0,2104.0,brown,2
J989,I1630,5781.0,5782.0,green,1
J989,I1712,5946.0,5947.0,green,1
J203,I350,908.0,909.0,brown,1
J203,I366,948.0,949.0,brown,1
J203,I398,1045.0,1046.0,green,1
J203,I463,1273.0,1279.0,green,2
J203,I598,1778.0,1782.0,green,1
J817,I587,1737.0,1742.0,green,2
J817,I683,2142.0,2153.0,green,1
J860,I1283,4731.0,4745.0,green,5
J554,I1418,5207.0,5215.0,green,5
J554,I1594,5699.0,5703.0,green,1
J749,I488,1395.0,1398.0,brown,3
J749,I520,1495.0,1497.0,green,1
J749,I616,1850.0,1851.0,green,1
J749,I1256,4624.0,4629.0,brown,1
J510,I155,309.0,311.0,green,1
J510,I187,405.0,406.0,brown,1
J919,I401,1050.0,1063.0,green,2
J919,I1469,5381.0,5392.0,brown,1
J919,I1489,5440.0,5441.0,brown,1
J919,I1521,5515.0,5518.0,brown,1
J355,I1109,4042.0,4045.0,brown,1
J355,I1390,5104.0,5118.0,green,5
J121,I277,673.0,675.0,brown,2
J121,I477,1354.0,1361.0,brown,1
J121,I598,1778.0,1782.0,green,1
J121,I854,3018.0,3026.0,green,1
J661,I835,2926.0,2932.0,green,6
J694,I1096,3988.0,3992.0,brown,1
J694,I1193,4393.0,4395.0,green,1
J694,I1353,4961.0,4969.0,green,1
J90,I96,183.0,186.0,green,2
J90,I160,324.0,330.0,brown,1
J90,I320,800.0,801.0,brown,1
J90,I330,837.0,839.0,brown,1
J811,I862,3049.0,3069.0,green,4
J103,I282,688.0,694.0,brown,1
J103,I378,983.0,987.0,green,1
J103,I442,1190.0,1199.0,green,1
J103,I474,1337.0,1350.0,green,3
J162,I92,177.0,178.0,green,1
