Job,Interval,Start,End,Energy,Flow
J94,I272,509.0,513.0,red,1
J94,I304,574.0,576.0,brown,1
J94,I384,738.0,742.0,green,2
J94,I432,842.0,851.0,green,2
J151,I393,763.0,764.0,brown,1
J151,I423,815.0,821.0,green,1
J151,I514,1004.0,1012.0,green,2
J151,I578,1128.0,1130.0,green,1
J98,I432,842.0,851.0,green,1
J98,I459,901.0,902.0,green,1
J98,I491,962.0,965.0,green,1
J148,I278,520.0,524.0,green,1
J148,I402,775.0,776.0,brown,1
J148,I434,852.0,853.0,green,1
J148,I466,915.0,917.0,brown,1
J148,I490,959.0,962.0,green,1
J148,I530,1044.0,1045.0,brown,1
J82,I237,435.0,436.0,green,1
J82,I245,449.0,457.0,green,1
J82,I253,474.0,475.0,green,1
J82,I255,477.0,479.0,red,2
J82,I288,542.0,545.0,brown,1
J15,I68,111.0,113.0,brown,1
J15,I326,626.0,632.0,brown,4
J62,I50,78.0,80.0,green,1
J62,I66,109.0,110.0,red,1
J62,I355,677.0,680.0,green,2
J76,I220,397.0,400.0,green,2
J76,I221,400.0,408.0,green,3
J76,I348,667.0,669.0,green,1
J90,I234,431.0,432.0,brown,1
J90,I432,842.0,851.0,green,3
J84,I200,348.0,349.0,green,1
J84,I472,925.0,926.0,brown,1
J84,I489,954.0,959.0,green,2
J84,I520,1030.0,1031.0,green,1
J84,I552,1080.0,1083.0,green,1
J141,I196,336.0,338.0,red,1
J141,I229,421.0,422.0,brown,1
J141,I261,487.0,488.0,green,1
J141,I453,886.0,893.0,green,2
J60,I142,233.0,236.0,green,1
J60,I238,436.0,440.0,green,1
J79,I245,449.0,457.0,green,1
J79,I251,465.0,471.0,green,3
J79,I271,507.0,509.0,red,2
J108,I302,570.0,572.0,red,1
J108,I334,641.0,645.0,green,2
J108,I430,830.0,835.0,green,1
J108,I519,1027.0,1030.0,green,1
J108,I535,1052.0,1053.0,green,1
J195,I249,463.0,464.0,brown,1
J195,I282,534.0,535.0,red,1
J195,I337,647.0,654.0,green,1
J195,I345,663.0,664.0,green,1
J195,I602,1169.0,1173.0,brown,1
J153,I433,851.0,852.0,brown,1
J153,I450,882.0,883.0,brown,1
J153,I466,915.0,917.0,brown,1
J153,I498,976.0,977.0,green,1
J153,I504,987.0,989.0,brown,1
J153,I514,1004.0,1012.0,green,1
J187,I59,89.0,92.0,green,2
J187,I187,310.0,312.0,brown,1
J190,I467,917.0,919.0,brown,2
J190,I499,977.0,982.0,green,1
J190,I571,1115.0,1116.0,brown,1
J190,I579,1130.0,1133.0,green,1
J33,I108,168.0,169.0,brown,1
J33,I140,230.0,231.0,green,1
J33,I204,358.0,362.0,green,1
J33,I365,700.0,702.0,brown,2
J33,I464,911.0,914.0,brown,1
J96,I189,318.0,321.0,green,1
J96,I317,603.0,608.0,green,1
J96,I333,640.0,641.0,green,1
J96,I425,822.0,823.0,green,1
J96,I430,830.0,835.0,green,1
J96,I469,921.0,923.0,brown,1
J66,I153,253.0,255.0,green,1
J66,I190,321.0,327.0,green,1
J137,I346,664.0,665.0,green,1
J137,I410,789.0,791.0,brown,1
J137,I602,1169.0,1173.0,brown,3
J71,I179,299.0,302.0,green,2
J71,I211,378.0,379.0,red,1
J71,I339,655.0,656.0,green,1
J71,I371,708.0,710.0,green,1
J7,I37,50.0,54.0,green,2
J7,I41,62.0,63.0,green,1
J7,I45,71.0,72.0,green,1
J7,I94,146.0,147.0,brown,1
J7,I110,170.0,171.0,brown,1
J49,I131,213.0,214.0,green,1
J49,I199,341.0,348.0,green,1
J64,I231,426.0,429.0,green,3
J164,I246,457.0,460.0,brown,1
J164,I274,515.0,516.0,brown,1
J164,I499,977.0,982.0,green,2
J70,I205,362.0,366.0,green,2
J70,I236,433.0,435.0,green,1
J70,I300,566.0,567.0,green,1
J70,I460,902.0,903.0,brown,1
J102,I251,465.0,471.0,green,2
J102,I266,496.0,499.0,green,2
J102,I298,557.0,564.0,green,1
J135,I181,304.0,305.0,green,1
J135,I245,449.0,457.0,green,2
J135,I373,712.0,714.0,green,1
J135,I437,858.0,861.0,green,1
J135,I438,861.0,863.0,green,1
J24,I21,29.0,30.0,green,1
J24,I27,37.0,38.0,green,1
J24,I36,49.0,50.0,green,1
J24,I52,81.0,83.0,brown,2
