Job,Interval,Start,End,Energy,Flow
J277,I605,2060.0,2062.0,green,2
J277,I621,2118.0,2120.0,brown,1
J408,I434,1369.0,1377.0,green,1
J408,I530,1764.0,1775.0,green,3
J349,I629,2143.0,2145.0,green,2
J349,I789,2715.0,2717.0,green,1
J268,I448,1431.0,1436.0,green,2
J497,I484,1576.0,1578.0,green,1
J497,I707,2460.0,2470.0,brown,3
J389,I522,1712.0,1714.0,brown,1
J389,I571,1941.0,1957.0,green,5
J37,I145,300.0,317.0,green,1
J37,I524,1725.0,1736.0,brown,2
J433,I671,2310.0,2315.0,green,1
J433,I675,2323.0,2325.0,green,1
J433,I762,2634.0,2635.0,brown,1
J433,I770,2659.0,2666.0,green,2
J433,I771,2666.0,2670.0,green,1
J187,I435,1377.0,1382.0,green,1
J187,I514,1686.0,1688.0,brown,2
J187,I522,1712.0,1714.0,brown,1
J185,I533,1787.0,1798.0,brown,2
J185,I597,2051.0,2052.0,brown,1
J320,I398,1240.0,1244.0,brown,1
J320,I463,1491.0,1496.0,green,1
J320,I847,2846.0,2848.0,green,1
J346,I182,413.0,421.0,green,3
J346,I533,1787.0,1798.0,brown,2
J346,I670,2300.0,2310.0,green,1
J19,I109,221.0,223.0,brown,1
J19,I462,1485.0,1491.0,green,1
J489,I627,2135.0,2138.0,brown,1
J489,I628,2138.0,2143.0,green,3
J489,I652,2228.0,2233.0,green,1
J489,I676,2325.0,2340.0,green,1
J177,I412,1290.0,1293.0,brown,3
J380,I571,1941.0,1957.0,green,5
J429,I380,1166.0,1169.0,green,3
J429,I802,2748.0,2754.0,green,2
J326,I145,300.0,317.0,green,2
J326,I561,1880.0,1895.0,green,2
J11,I157,349.0,351.0,green,2
J11,I509,1668.0,1677.0,brown,1
J11,I659,2257.0,2265.0,green,1
J11,I768,2653.0,2658.0,green,2
J434,I581,1998.0,2002.0,green,4
J434,I677,2340.0,2359.0,green,2
J390,I406,1262.0,1265.0,brown,1
J390,I598,2052.0,2054.0,brown,2
J390,I791,2723.0,2725.0,green,1
J390,I803,2754.0,2756.0,green,1
J30,I172,382.0,384.0,green,1
J30,I204,484.0,489.0,green,3
J30,I300,802.0,813.0,green,2
J109,I133,269.0,272.0,green,2
J109,I165,368.0,372.0,green,2
J216,I426,1338.0,1347.0,green,1
J216,I858,2872.0,2875.0,green,2
J216,I874,2905.0,2906.0,green,1
J216,I882,2923.0,2925.0,green,2
J80,I58,120.0,122.0,green,1
J80,I282,745.0,748.0,brown,1
J80,I410,1281.0,1289.0,brown,1
J191,I328,935.0,943.0,green,1
J191,I376,1135.0,1143.0,green,1
J191,I664,2277.0,2281.0,green,2
J205,I348,1007.0,1017.0,green,2
J324,I355,1049.0,1059.0,green,1
J324,I418,1312.0,1320.0,brown,2
J324,I706,2454.0,2460.0,brown,1
J138,I165,368.0,372.0,green,1
J138,I524,1725.0,1736.0,brown,1
J138,I532,1778.0,1787.0,brown,1
J279,I450,1441.0,1452.0,green,5
J279,I513,1685.0,1686.0,brown,1
J364,I839,2826.0,2828.0,green,2
J364,I843,2835.0,2838.0,green,1
J102,I199,471.0,473.0,green,2
J102,I307,853.0,860.0,green,3
J102,I463,1491.0,1496.0,green,1
J259,I517,1696.0,1700.0,brown,1
J259,I613,2092.0,2094.0,brown,1
J259,I774,2672.0,2681.0,green,3
J94,I178,397.0,406.0,green,3
J94,I802,2748.0,2754.0,green,1
J146,I209,499.0,504.0,green,2
J146,I273,717.0,727.0,green,2
J146,I536,1808.0,1811.0,brown,1
J398,I418,1312.0,1320.0,brown,2
J398,I771,2666.0,2670.0,green,3
J385,I448,1431.0,1436.0,green,2
J385,I595,2040.0,2050.0,brown,1
J57,I418,1312.0,1320.0,brown,1
J57,I579,1994.0,1996.0,green,2
J322,I577,1978.0,1985.0,green,4
J322,I592,2035.0,2038.0,brown,1
J322,I632,2153.0,2161.0,brown,1
J495,I900,2955.0,2958.0,brown,1
J76,I86,171.0,172.0,brown,1
J76,I183,421.0,423.0,green,1
J76,I310,864.0,868.0,brown,1
J76,I406,1262.0,1265.0,brown,1
J76,I675,2323.0,2325.0,green,1
J76,I827,2801.0,2802.0,green,1
J482,I770,2659.0,2666.0,green,1
J201,I422,1326.0,1329.0,brown,1
J201,I454,1459.0,1466.0,brown,1
J201,I518,1700.0,1703.0,brown,1
J201,I823,2795.0,2797.0,green,2
J201,I831,2806.0,2808.0,green,1
J152,I343,992.0,993.0,green,1
J152,I344,993.0,994.0,green,1
J152,I376,1135.0,1143.0,green,4
J65,I120,246.0,247.0,green,1
J65,I168,374.0,376.0,green,1
J250,I423,1329.0,1335.0,brown,6
J33,I95,185.0,187.0,green,2
J33,I98,191.0,193.0,green,1
J33,I99,193.0,195.0,green,2
J33,I100,195.0,196.0,green,1
J254,I507,1656.0,1665.0,brown,3
J6,I108,220.0,221.0,brown,1
J6,I141,288.0,294.0,green,2
J478,I792,2725.0,2729.0,green,1
J478,I815,2778.0,2779.0,brown,1
J478,I819,2785.0,2791.0,brown,1
J478,I848,2848.0,2850.0,green,1
J478,I880,2918.0,2922.0,green,2
J331,I408,1269.0,1275.0,brown,1
J331,I585,2012.0,2016.0,green,3
J331,I611,2076.0,2082.0,green,1
J331,I657,2247.0,2256.0,green,1
J342,I677,2340.0,2359.0,green,1
J123,I72,149.0,150.0,green,1
J123,I426,1338.0,1347.0,green,3
J248,I144,299.0,300.0,green,1
J248,I410,1281.0,1289.0,brown,2
J416,I489,1596.0,1608.0,brown,1
J416,I625,2132.0,2134.0,brown,2
J133,I29,61.0,64.0,green,3
J133,I509,1668.0,1677.0,brown,1
J381,I353,1040.0,1048.0,green,2
J261,I328,935.0,943.0,green,1
J261,I744,2576.0,2583.0,green,2
J261,I776,2682.0,2687.0,green,2
J261,I849,2850.0,2853.0,green,1
J417,I360,1075.0,1076.0,green,1
J417,I568,1914.0,1929.0,green,3
J417,I841,2829.0,2832.0,green,1
J165,I282,745.0,748.0,brown,1
J165,I410,1281.0,1289.0,brown,3
J242,I194,444.0,446.0,green,2
J242,I226,551.0,552.0,green,1
J242,I386,1190.0,1196.0,green,2
J242,I595,2040.0,2050.0,brown,1
J29,I112,225.0,226.0,brown,1
J29,I133,269.0,272.0,green,1
J29,I264,683.0,689.0,brown,1
J29,I273,717.0,727.0,green,3
J393,I75,154.0,157.0,green,3
J393,I523,1714.0,1725.0,brown,3
J207,I265,689.0,693.0,brown,2
J207,I778,2690.0,2691.0,green,1
J296,I182,413.0,421.0,green,2
J296,I342,985.0,992.0,green,2
J296,I662,2273.0,2275.0,green,1
J140,I183,421.0,423.0,green,1
J140,I209,499.0,504.0,green,2
J140,I219,534.0,537.0,green,2
J284,I352,1023.0,1040.0,green,6
J188,I231,557.0,563.0,green,3
J188,I422,1326.0,1329.0,brown,1
J108,I98,191.0,193.0,green,1
J108,I113,226.0,227.0,brown,1
J108,I130,262.0,266.0,green,1
J108,I162,359.0,363.0,green,1
J384,I115,235.0,238.0,brown,1
J384,I132,268.0,269.0,green,1
J384,I164,365.0,368.0,green,2
J384,I588,2020.0,2024.0,green,1
J40,I114,227.0,235.0,brown,4
J40,I165,368.0,372.0,green,1
J40,I185,424.0,426.0,green,1
J411,I25,46.0,47.0,green,1
J411,I57,118.0,120.0,green,1
