Job,Interval,Start,End,Energy,Flow
J284,I602,1795.0,1798.0,green,1
J284,I698,2182.0,2184.0,green,1
J284,I729,2302.0,2304.0,brown,1
J284,I761,2396.0,2407.0,brown,2
J43,I660,2050.0,2062.0,green,1
J43,I662,2066.0,2070.0,green,3
J270,I373,977.0,979.0,green,1
J270,I532,1578.0,1581.0,brown,1
J270,I788,2468.0,2476.0,brown,2
J407,I620,1880.0,1888.0,green,4
J479,I411,1090.0,1096.0,brown,1
J241,I473,1370.0,1372.0,green,1
J241,I474,1372.0,1382.0,green,5
J225,I578,1714.0,1727.0,green,1
J225,I658,2045.0,2049.0,green,1
J225,I850,2658.0,2659.0,green,1
J388,I639,1936.0,1957.0,green,2
J388,I687,2140.0,2141.0,green,1
J388,I751,2361.0,2364.0,green,3
J149,I292,736.0,749.0,green,6
J463,I636,1928.0,1932.0,green,3
J233,I291,728.0,736.0,green,2
J233,I867,2704.0,2710.0,green,1
J233,I899,2790.0,2796.0,green,3
J106,I101,194.0,195.0,green,1
J106,I165,348.0,351.0,green,2
J106,I213,469.0,471.0,green,1
J106,I245,564.0,566.0,green,1
J106,I277,676.0,684.0,brown,1
J446,I845,2648.0,2651.0,green,2
J406,I752,2364.0,2368.0,green,1
J406,I774,2430.0,2431.0,brown,1
J406,I806,2517.0,2519.0,brown,1
J248,I496,1446.0,1447.0,brown,1
J248,I528,1569.0,1573.0,brown,3
J248,I784,2461.0,2465.0,brown,1
J237,I330,837.0,842.0,brown,2
J237,I875,2729.0,2734.0,green,3
J436,I736,2314.0,2316.0,green,2
J436,I832,2611.0,2614.0,green,3
J37,I249,581.0,586.0,brown,1
J37,I329,836.0,837.0,brown,1
J10,I133,272.0,273.0,brown,1
J10,I197,429.0,432.0,brown,1
J10,I582,1741.0,1745.0,green,3
J10,I902,2799.0,2803.0,green,1
J65,I295,752.0,756.0,brown,1
J65,I712,2257.0,2260.0,green,1
J419,I843,2641.0,2642.0,green,1
J419,I935,2863.0,2869.0,green,1
J419,I939,2877.0,2878.0,green,1
J419,I940,2878.0,2880.0,green,2
J172,I445,1258.0,1260.0,brown,1
J172,I702,2202.0,2207.0,green,3
J188,I580,1731.0,1736.0,green,1
J188,I612,1861.0,1864.0,green,2
J188,I692,2158.0,2166.0,green,3
J195,I418,1114.0,1119.0,green,5
J195,I578,1714.0,1727.0,green,1
J500,I730,2304.0,2305.0,brown,1
J500,I762,2407.0,2411.0,brown,2
J500,I891,2774.0,2778.0,green,1
J500,I1006,2998.0,2999.0,green,1
J319,I537,1595.0,1598.0,brown,1
J319,I650,1993.0,2001.0,green,1
J315,I492,1435.0,1438.0,brown,1
J315,I605,1804.0,1810.0,green,2
J353,I705,2211.0,2225.0,green,5
J353,I851,2659.0,2666.0,green,1
J256,I132,269.0,272.0,brown,2
J256,I452,1289.0,1300.0,brown,1
J256,I645,1974.0,1982.0,green,1
J156,I212,466.0,469.0,green,1
J156,I372,972.0,977.0,green,4
J156,I424,1145.0,1153.0,green,1
J182,I407,1065.0,1076.0,green,1
J182,I455,1313.0,1317.0,green,4
J182,I456,1317.0,1324.0,green,1
J262,I400,1042.0,1045.0,brown,1
J262,I689,2144.0,2146.0,green,2
J262,I705,2211.0,2225.0,green,1
J145,I42,71.0,72.0,green,1
J145,I50,87.0,97.0,green,3
J145,I90,170.0,171.0,green,1
J79,I25,43.0,44.0,green,1
J79,I57,105.0,114.0,green,5
J150,I195,421.0,428.0,brown,1
J150,I420,1127.0,1139.0,green,1
J150,I598,1781.0,1785.0,green,1
J322,I359,937.0,942.0,green,2
J322,I486,1421.0,1422.0,brown,1
J322,I759,2389.0,2390.0,green,1
J322,I855,2678.0,2683.0,green,2
J116,I51,97.0,98.0,green,1
J116,I60,117.0,126.0,green,1
J116,I419,1119.0,1127.0,green,2
J92,I306,777.0,787.0,green,2
J92,I401,1045.0,1049.0,brown,3
J92,I562,1656.0,1657.0,green,1
J166,I362,946.0,950.0,green,4
J146,I502,1462.0,1469.0,green,3
J146,I507,1479.0,1498.0,green,1
J126,I294,751.0,752.0,brown,1
J126,I359,937.0,942.0,green,1
J126,I407,1065.0,1076.0,green,2
J126,I471,1365.0,1368.0,green,1
J126,I583,1745.0,1749.0,green,1
J143,I238,543.0,544.0,green,1
J143,I270,646.0,659.0,green,5
J159,I183,395.0,398.0,brown,1
J159,I344,877.0,885.0,green,1
J482,I660,2050.0,2062.0,green,1
J482,I740,2325.0,2327.0,green,1
J482,I820,2567.0,2579.0,green,3
J412,I474,1372.0,1382.0,green,2
J412,I506,1478.0,1479.0,green,1
J412,I666,2076.0,2077.0,green,1
J412,I794,2487.0,2490.0,green,1
J68,I91,171.0,172.0,green,1
J68,I155,321.0,325.0,green,1
J68,I441,1241.0,1244.0,green,1
J161,I309,791.0,792.0,green,1
J161,I341,871.0,873.0,brown,1
J161,I437,1235.0,1237.0,green,2
J332,I587,1755.0,1756.0,green,1
J332,I619,1878.0,1880.0,green,1
J332,I651,2001.0,2011.0,green,2
J332,I683,2125.0,2127.0,green,2
J239,I380,997.0,998.0,green,1
J239,I668,2078.0,2083.0,green,3
J471,I701,2200.0,2202.0,green,1
J471,I732,2306.0,2307.0,brown,1
J471,I780,2445.0,2449.0,brown,1
J471,I861,2691.0,2694.0,green,1
J471,I924,2844.0,2845.0,brown,1
J283,I200,442.0,443.0,green,1
J283,I328,831.0,836.0,brown,3
J283,I344,877.0,885.0,green,1
J283,I568,1682.0,1688.0,green,1
J184,I593,1764.0,1772.0,green,2
J399,I788,2468.0,2476.0,brown,2
J399,I916,2831.0,2836.0,green,1
J399,I918,2837.0,2838.0,green,1
J53,I102,195.0,196.0,green,1
J53,I358,925.0,937.0,green,5
J26,I54,101.0,103.0,green,2
J26,I150,312.0,317.0,green,1
J111,I250,586.0,589.0,brown,3
J111,I282,698.0,702.0,brown,2
J111,I507,1479.0,1498.0,green,1
J35,I21,32.0,35.0,green,3
J35,I22,35.0,37.0,green,1
J35,I29,47.0,49.0,green,1
J35,I69,141.0,142.0,brown,1
J105,I164,347.0,348.0,green,1
J254,I197,429.0,432.0,brown,2
J254,I277,676.0,684.0,brown,1
J59,I59,115.0,117.0,green,2
J59,I639,1936.0,1957.0,green,1
J59,I660,2050.0,2062.0,green,1
J140,I685,2129.0,2136.0,green,5
J432,I813,2547.0,2550.0,brown,2
J432,I886,2753.0,2758.0,green,1
J21,I50,87.0,97.0,green,3
J21,I177,383.0,384.0,brown,1
J451,I711,2253.0,2257.0,green,1
J451,I742,2328.0,2331.0,brown,1
J440,I527,1568.0,1569.0,brown,1
J440,I840,2630.0,2638.0,green,4
J396,I350,904.0,909.0,green,5
J444,I564,1658.0,1670.0,green,4
J153,I338,863.0,866.0,green,1
J153,I434,1204.0,1211.0,green,4
J153,I630,1914.0,1915.0,green,1
J213,I420,1127.0,1139.0,green,6
J312,I447,1262.0,1272.0,brown,1
J312,I472,1368.0,1370.0,green,1
J312,I632,1917.0,1924.0,green,2
J312,I807,2519.0,2520.0,brown,1
J169,I211,465.0,466.0,green,1
J169,I339,866.0,870.0,brown,1
J169,I595,1774.0,1775.0,green,1
J235,I470,1356.0,1365.0,green,1
J62,I345,885.0,895.0,green,1
J62,I442,1244.0,1254.0,green,1
J62,I474,1372.0,1382.0,green,1
J62,I509,1502.0,1509.0,green,1
J62,I541,1607.0,1611.0,green,2
J139,I186,402.0,407.0,green,1
J139,I210,464.0,465.0,green,1
J139,I242,560.0,562.0,green,2
J298,I492,1435.0,1438.0,brown,2
J298,I669,2083.0,2086.0,green,2
J298,I764,2412.0,2413.0,brown,1
J298,I796,2492.0,2493.0,brown,1
J216,I450,1275.0,1288.0,brown,4
J404,I853,2674.0,2677.0,green,3
J404,I887,2758.0,2761.0,green,1
J271,I547,1623.0,1624.0,brown,1
J271,I580,1731.0,1736.0,green,2
J271,I644,1972.0,1974.0,green,2
J104,I163,346.0,347.0,green,1
J104,I419,1119.0,1127.0,green,5
J415,I661,2062.0,2066.0,green,1
J415,I693,2166.0,2171.0,green,1
J415,I788,2468.0,2476.0,brown,1
J11,I18,29.0,30.0,green,1
J11,I24,38.0,43.0,green,2
J11,I32,52.0,53.0,green,1
J11,I64,132.0,133.0,green,1
J11,I130,265.0,266.0,brown,1
J275,I575,1705.0,1707.0,green,1
J107,I377,985.0,989.0,green,3
J107,I705,2211.0,2225.0,green,1
J107,I717,2271.0,2276.0,green,1
J316,I510,1509.0,1511.0,green,2
J316,I558,1646.0,1647.0,green,1
J499,I677,2101.0,2104.0,green,1
J499,I836,2619.0,2623.0,brown,1
J203,I155,321.0,325.0,green,1
J203,I864,2698.0,2701.0,green,3
J203,I875,2729.0,2734.0,green,1
J410,I608,1815.0,1839.0,green,6
J112,I290,726.0,728.0,brown,1
J112,I322,821.0,822.0,brown,1
J112,I450,1275.0,1288.0,brown,2
J377,I452,1289.0,1300.0,brown,2
J377,I613,1864.0,1865.0,green,1
J377,I758,2388.0,2389.0,green,1
J456,I441,1241.0,1244.0,green,1
J456,I937,2871.0,2875.0,green,2
J456,I941,2880.0,2882.0,green,1
J391,I590,1759.0,1760.0,green,1
J391,I654,2020.0,2034.0,green,5
J285,I414,1105.0,1111.0,green,6
J12,I36,59.0,61.0,green,2
J12,I452,1289.0,1300.0,brown,2
J459,I673,2090.0,2095.0,green,1
J459,I865,2701.0,2703.0,green,1
J459,I993,2980.0,2981.0,green,1
J459,I994,2981.0,2982.0,green,1
J201,I372,972.0,977.0,green,1
J201,I660,2050.0,2062.0,green,1
J201,I708,2234.0,2240.0,green,2
J201,I888,2761.0,2768.0,green,1
J392,I800,2499.0,2506.0,brown,2
J392,I852,2666.0,2674.0,green,1
J392,I861,2691.0,2694.0,green,2
J392,I865,2701.0,2703.0,green,1
J227,I426,1155.0,1162.0,green,5
J227,I489,1428.0,1429.0,brown,1
J420,I508,1498.0,1502.0,green,3
J420,I700,2185.0,2200.0,green,2
J420,I860,2688.0,2691.0,green,1
J200,I235,525.0,529.0,green,2
J200,I571,1693.0,1694.0,green,1
J160,I710,2244.0,2253.0,green,4
J311,I447,1262.0,1272.0,brown,2
J311,I743,2331.0,2332.0,brown,1
J89,I213,469.0,471.0,green,1
J89,I373,977.0,979.0,green,1
J89,I452,1289.0,1300.0,brown,1
J39,I62,128.0,130.0,green,1
J39,I678,2104.0,2106.0,green,1
J327,I402,1049.0,1053.0,brown,3
J135,I359,937.0,942.0,green,1
J135,I682,2122.0,2125.0,green,3
J473,I466,1346.0,1350.0,brown,1
J473,I931,2855.0,2858.0,green,3
J305,I433,1203.0,1204.0,green,1
J305,I561,1650.0,1656.0,green,4
