instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,5,6.0,True,True,3.0,3.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,0.16552065026189666,0.16397899889852852,0.18585839970910456,0.1777500001480803,0.9225260127252917
2,30,10,6,23.0,True,True,16.0,16.0,0.0,7.0,16.0,0.0,7.0,16.0,0.0,0.3025938000064343,0.29570800325018354,0.5492498497915221,0.5306869970809203,0.5572173519923145
3,27,15,9,22.0,True,True,16.0,16.0,0.0,8.0,12.0,2.0,8.0,12.0,2.0,0.6164999991597142,0.6112084993219469,0.8789397001237376,0.8752500034461264,0.6983244751961525
4,41,6,7,33.0,True,True,32.0,32.0,0.0,9.0,16.0,8.0,9.0,16.0,8.0,0.27433340073912404,0.2736664973781444,0.35009390048799105,0.3422084992052987,0.7997068980275841
5,29,8,9,23.0,True,True,20.0,20.0,0.0,7.0,12.0,4.0,7.0,12.0,4.0,0.38243944945861585,0.3764789980778005,0.5699459008610575,0.5575625000346918,0.6752229535780757
6,41,8,6,33.0,True,True,22.0,22.0,0.0,11.0,22.0,0.0,11.0,22.0,0.0,0.2632165495015215,0.26127099772566,0.48381875167251565,0.4776250025315676,0.5470211909779406
7,45,10,9,35.0,True,True,39.0,39.0,0.0,13.0,5.0,17.0,13.0,5.0,17.0,0.44103750005888287,0.4342915017332416,0.6420752506528515,0.6345415058603976,0.6844178004469073
8,39,8,6,29.0,True,True,33.0,33.0,0.0,10.0,5.0,14.0,10.0,5.0,14.0,0.3532270005962346,0.34485400101402774,0.5003498503356241,0.492521001433488,0.7001813120868475
9,46,5,9,11.0,True,True,2.0,2.0,0.0,9.0,2.0,0.0,9.0,2.0,0.0,0.1871085009042872,0.18631250350154005,0.24295429939229507,0.237813001149334,0.7834412021256383
10,50,15,9,38.0,True,True,30.0,30.0,0.0,14.0,18.0,6.0,14.0,18.0,6.0,0.739285399322398,0.7277080039784778,1.2939415992150316,1.2857289948442485,0.5659886390495777
11,38,8,7,29.0,True,True,29.0,29.0,0.0,10.0,9.0,10.0,10.0,9.0,10.0,0.290481151023414,0.28939550247741863,0.4105708001588937,0.4046875001222361,0.7151085773343792
12,25,8,6,19.0,True,True,20.0,20.0,0.0,6.0,6.0,7.0,6.0,6.0,7.0,0.314979000177118,0.31160450089373626,0.3450542499194853,0.33804149643401615,0.9217936382983671
13,37,13,12,30.0,True,True,38.0,38.0,0.0,10.0,2.0,18.0,10.0,2.0,18.0,0.5589938002231065,0.54954150255071,0.8721748999960255,0.8661874999233987,0.6344371196759463
