instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,60,6,5,6.0,True,True,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.1261917015654035,0.12543700722744688,0.17521455010864884,0.17135350208263844,0.7320364375567447
2,30,10,6,22.0,True,True,5.0,5.0,0.0,17.0,5.0,0.0,17.0,5.0,0.0,0.3084728479734622,0.3012079978361726,0.5777002006652765,0.5703335045836866,0.5281260795927438
3,27,15,12,20.0,True,True,2.0,2.0,0.0,18.0,2.0,0.0,18.0,2.0,0.0,0.39062290015863255,0.38281250454019755,0.8143812490743585,0.8014584964257665,0.47764482658479723
4,46,8,5,32.0,True,True,4.0,4.0,0.0,28.0,4.0,0.0,28.0,4.0,0.0,0.2601979998871684,0.25841650494839996,0.4005687493190635,0.3892500026267953,0.6638831167746048
5,35,11,9,24.0,True,True,2.0,2.0,0.0,22.0,2.0,0.0,22.0,2.0,0.0,0.38589579999097623,0.3765419969568029,0.6849146484455559,0.6695835036225617,0.5623525593441984
6,55,11,10,38.0,True,True,3.0,3.0,0.0,35.0,3.0,0.0,35.0,3.0,0.0,0.5695644991646986,0.5560419958783314,0.9899188509734813,0.9843965017353185,0.5648557211429813
7,39,13,7,28.0,True,True,4.0,4.0,0.0,24.0,4.0,0.0,24.0,4.0,0.0,0.5083832002128474,0.49552050040801987,0.772260448866291,0.7658545000595041,0.6470165029643618
8,53,13,5,39.0,True,True,10.0,10.0,0.0,29.0,10.0,0.0,29.0,10.0,0.0,0.43303325001033954,0.42795799527084455,0.8025854527659249,0.7910415006335825,0.5410057436026716
9,36,11,10,26.0,True,True,4.0,4.0,0.0,22.0,4.0,0.0,22.0,4.0,0.0,0.43987094904878177,0.429208499554079,0.7410875005007256,0.7378330046776682,0.5817149637289325
10,40,8,8,28.0,True,True,4.0,4.0,0.0,24.0,4.0,0.0,24.0,4.0,0.0,0.2660269987245556,0.26443699607625604,0.4635937002603896,0.45500000851461664,0.581180200280724
11,37,5,6,26.0,True,True,5.0,5.0,0.0,21.0,5.0,0.0,21.0,5.0,0.0,0.14971865166444331,0.14691700198454782,0.1873040986538399,0.18339600501349196,0.8010916157837764
12,46,12,12,34.0,True,True,6.0,6.0,0.0,28.0,6.0,0.0,28.0,6.0,0.0,0.44875195089844055,0.4448334948392585,0.9065352511242963,0.8938745013438165,0.4976464751713053
13,53,10,11,40.0,True,True,9.0,9.0,0.0,33.0,5.0,2.0,33.0,5.0,2.0,0.5579126009251922,0.548792006156873,0.8208749495679513,0.8202914978028275,0.669020717180206
14,40,15,8,30.0,True,True,5.0,5.0,0.0,25.0,5.0,0.0,25.0,5.0,0.0,0.602081300894497,0.5913954955758527,0.9676166489953175,0.9681875017122366,0.6108274425459651
15,58,10,8,42.0,True,True,6.0,6.0,0.0,36.0,6.0,0.0,36.0,6.0,0.0,0.40255214771605097,0.3975420040660538,0.6897749990457669,0.67991649848409,0.5846923923046357
16,37,5,10,28.0,True,True,6.0,6.0,0.0,22.0,6.0,0.0,22.0,6.0,0.0,0.18254380192956887,0.18014650413533673,0.27381049876566976,0.26622950099408627,0.6766586853172906
