instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,600,100,200,460.0,True,True,139.0,139.0,0.0,322.0,137.0,1.0,322.0,137.0,1.0,73.54836319864262,74.59349300188478,741.8564866005909,745.8366970095085,0.10001317084688018
2,600,100,200,457.0,True,True,115.0,115.0,0.0,342.0,115.0,0.0,342.0,115.0,0.0,62.5673872011248,61.60683400230482,741.5327349997824,746.203301998321,0.0825603878156565
3,600,100,200,448.0,True,True,127.0,127.0,0.0,321.0,127.0,0.0,321.0,127.0,0.0,61.560491600539535,59.757837996585295,699.1203492012573,698.554888003855,0.08554494288536926
4,600,100,200,470.0,True,True,145.0,145.0,0.0,325.0,145.0,0.0,325.0,145.0,0.0,72.3742409987608,72.57509700139053,696.0173545987345,694.2751629976556,0.10453362134983303
5,600,100,200,446.0,True,True,129.0,129.0,0.0,317.0,129.0,0.0,317.0,129.0,0.0,64.70873360231053,66.42745299905073,755.2708445960889,759.2282099940348,0.08749339411344138
6,600,100,200,449.0,True,True,140.0,140.0,0.0,316.0,126.0,7.0,316.0,126.0,7.0,68.05115159950219,65.91949600260705,733.9598465972813,734.9696290038992,0.08969009521107345
7,600,100,200,449.0,True,True,132.0,132.0,0.0,317.0,132.0,0.0,317.0,132.0,0.0,55.716845800634474,56.36753900034819,771.2578297971049,772.8174249932636,0.07293771747038381
8,600,100,200,458.0,True,True,152.0,152.0,0.0,312.0,140.0,6.0,312.0,140.0,6.0,75.36634200369008,74.03911001165397,732.4403538019396,730.7330179901328,0.10132169778682935
9,600,100,200,452.0,True,True,114.0,114.0,0.0,338.0,114.0,0.0,338.0,114.0,0.0,57.502499999827705,55.48951200034935,691.9321566005237,691.0988279996673,0.08029171769970947
10,600,100,200,458.0,True,True,121.0,121.0,0.0,337.0,121.0,0.0,337.0,121.0,0.0,60.24853319686372,58.37617799988948,781.3386209978489,777.616945997579,0.07507060937953276
11,600,100,200,438.0,True,True,92.0,92.0,0.0,346.0,92.0,0.0,346.0,92.0,0.0,57.339552402845584,56.48512800689787,589.4451888016192,588.2634559966391,0.09602012062979581
12,600,100,200,421.0,True,True,78.0,78.0,0.0,343.0,78.0,0.0,343.0,78.0,0.0,58.77196380170062,56.86422300641425,713.9981083979364,713.8384860008955,0.07965978876395706
13,600,100,200,439.0,True,True,97.0,97.0,0.0,342.0,97.0,0.0,342.0,97.0,0.0,65.11602940154262,63.93760499486234,827.4399661982898,827.655417000642,0.07725147891445835
14,600,100,200,470.0,True,True,138.0,138.0,0.0,332.0,138.0,0.0,332.0,138.0,0.0,75.9629113948904,74.9780379992444,839.2103265970945,836.902352006291,0.08958994776332137
15,600,100,200,429.0,True,True,76.0,76.0,0.0,353.0,76.0,0.0,353.0,76.0,0.0,64.0592882031342,65.3694190114038,778.9448148017982,778.3310910017462,0.08398664754259078
