instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,120,20,10,94.0,True,True,22.0,22.0,0.0,72.0,22.0,0.0,72.0,22.0,0.0,1.659257203573361,1.6856130096130073,3.7995089980540797,3.797802986809984,0.4438389815025294
2,120,20,10,92.0,True,True,37.0,37.0,0.0,61.0,25.0,6.0,61.0,25.0,6.0,1.936292793834582,1.9119189964840189,3.7900341994827613,3.763839995372109,0.5079703172384719
3,120,20,10,93.0,True,True,23.0,23.0,0.0,70.0,23.0,0.0,70.0,23.0,0.0,1.620150002418086,1.628665006137453,3.7344543990911916,3.7169499992160127,0.43817242806090334
4,120,20,10,95.0,True,True,35.0,35.0,0.0,69.0,17.0,9.0,69.0,17.0,9.0,1.5465525997569785,1.5404809964820743,3.224665197194554,3.207974004908465,0.4802037030614996
5,120,20,10,84.0,True,True,23.0,23.0,0.0,62.0,21.0,1.0,62.0,21.0,1.0,1.8321723997360095,1.8453509983373806,3.3703811961458996,3.3280139905400574,0.554490156466537
6,120,20,10,92.0,True,True,39.0,39.0,0.0,60.0,25.0,7.0,60.0,25.0,7.0,1.6130570002133027,1.5964079939294606,3.400041998247616,3.3894299995154142,0.4709960064546837
7,120,20,10,85.0,True,True,18.0,18.0,0.0,67.0,18.0,0.0,67.0,18.0,0.0,1.3740363967372105,1.3643619895447046,3.2698860013624653,3.254370007198304,0.41923997164639787
8,120,20,10,93.0,True,True,33.0,33.0,0.0,62.0,29.0,2.0,62.0,29.0,2.0,1.9047178007895127,1.894770990475081,3.8747342041460797,3.86084099591244,0.4907663880696247
9,120,20,10,84.0,True,True,24.0,24.0,0.0,60.0,24.0,0.0,60.0,24.0,0.0,1.9805416028248146,1.9558619969757274,4.95048759621568,4.20422999013681,0.46521289310152175
10,120,20,10,85.0,True,True,24.0,24.0,0.0,61.0,24.0,0.0,61.0,24.0,0.0,1.5629108005668968,1.566585007822141,4.228189404238947,4.222303003189154,0.3710261927291531
11,120,20,10,88.0,True,True,25.0,25.0,0.0,63.0,25.0,0.0,63.0,25.0,0.0,1.560716997482814,1.5678979980293661,3.7211101996945217,3.729408999788575,0.42041460138007186
12,120,20,10,96.0,True,True,48.0,48.0,0.0,60.0,24.0,12.0,60.0,24.0,12.0,1.780960598262027,1.7717349983286113,3.808227999252267,3.803615996730514,0.4658028044501724
13,120,20,10,85.0,True,True,24.0,24.0,0.0,61.0,24.0,0.0,61.0,24.0,0.0,1.4905093965353444,1.5042159939184785,3.7505912012420595,3.7404909962788224,0.4021439953778602
14,120,20,10,96.0,True,True,35.0,35.0,0.0,66.0,25.0,5.0,66.0,25.0,5.0,1.8388630007393658,1.827772008255124,3.7000871991040185,3.6845480062766,0.49606410478070256
15,120,20,10,84.0,True,True,17.0,17.0,0.0,67.0,17.0,0.0,67.0,17.0,0.0,1.3169052021112293,1.2881279981229454,2.825379601563327,2.8231010073795915,0.4562812293133601
16,120,20,10,96.0,True,True,28.0,28.0,0.0,69.0,26.0,1.0,69.0,26.0,1.0,1.5465972013771534,1.5278750070137903,3.666144996532239,3.631171988672577,0.42076635636648135
17,120,20,10,90.0,True,True,26.0,26.0,0.0,65.0,24.0,1.0,65.0,24.0,1.0,1.7916548007633537,1.7717769951559603,3.626488597365096,3.6498819972621277,0.4854340486856881
18,120,20,10,93.0,True,True,28.0,28.0,0.0,71.0,16.0,6.0,71.0,16.0,6.0,1.3464378047501668,1.3537810009438545,3.773150805500336,3.7564650119747967,0.36038695865083104
19,120,20,10,94.0,True,True,31.0,31.0,0.0,66.0,25.0,3.0,66.0,25.0,3.0,1.6066045995103195,1.6309079946950078,3.490510003757663,3.5108669981127605,0.46453140935606213
20,120,20,10,95.0,True,True,26.0,26.0,0.0,72.0,20.0,3.0,72.0,20.0,3.0,1.6544755984796211,1.6378959990106523,4.421324798022397,3.782874991884455,0.43297650663172654
21,120,20,10,91.0,True,True,19.0,19.0,0.0,72.0,19.0,0.0,72.0,19.0,0.0,1.416448998497799,1.4041269896551967,3.612627598340623,3.5993990022689104,0.3901003997528737
22,120,20,10,86.0,True,True,25.0,25.0,0.0,61.0,25.0,0.0,61.0,25.0,0.0,1.4836473943432793,1.4991229982115328,3.6527797987218946,3.6278650077292696,0.4132245811290135
23,120,20,10,84.0,True,True,15.0,15.0,0.0,69.0,15.0,0.0,69.0,15.0,0.0,1.7204231990035623,1.7098779935622588,4.0961113962111995,4.116511001484469,0.4153706847730163
24,120,20,10,94.0,True,True,33.0,33.0,0.0,64.0,27.0,3.0,64.0,27.0,3.0,1.7492106038844213,1.7613999953027815,3.7541386001976207,3.7099149922141805,0.47478176696753066
25,120,20,10,96.0,True,True,26.0,26.0,0.0,70.0,26.0,0.0,70.0,26.0,0.0,1.8439483974361792,1.8436069949530065,4.245234600966796,4.274210994481109,0.4313327061610867
26,120,20,10,84.0,True,True,32.0,32.0,0.0,56.0,24.0,4.0,56.0,24.0,4.0,1.4557812013663352,1.457199003198184,3.4252831974299625,3.456236998317763,0.42161431750989276
27,120,20,10,96.0,True,True,25.0,25.0,0.0,71.0,25.0,0.0,71.0,25.0,0.0,1.5606241940986365,1.4761759957764298,4.097289204946719,4.105979009182192,0.3595186415895601
28,120,20,10,86.0,True,True,17.0,17.0,0.0,69.0,17.0,0.0,69.0,17.0,0.0,1.4482419996056706,1.4490550092887133,3.9177225989988074,3.865121994749643,0.374905374592859
