instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,120,20,5,94.0,True,True,22.0,22.0,0.0,72.0,22.0,0.0,72.0,22.0,0.0,1.2154129915870726,1.2114849960198626,2.937320407363586,2.8801740118069574,0.42062909777447915
2,120,20,5,89.0,True,True,29.0,29.0,0.0,64.0,21.0,4.0,64.0,21.0,4.0,1.414821797516197,1.4125640009297058,3.278325602877885,3.3062370057450607,0.4272422087331227
3,120,20,5,86.0,True,True,21.0,21.0,0.0,65.0,21.0,0.0,65.0,21.0,0.0,1.3951931992778555,1.4033159968676046,3.5442818043520674,3.513659001328051,0.3993887842665426
4,120,20,5,91.0,True,True,34.0,34.0,0.0,60.0,28.0,3.0,60.0,28.0,3.0,1.8821630044840276,1.926627999637276,4.610315599711612,4.695291005191393,0.41033196824373214
5,120,20,5,96.0,True,True,44.0,44.0,0.0,62.0,24.0,10.0,62.0,24.0,10.0,1.6086739982711151,1.6392209945479408,3.407234197948128,3.3859109971672297,0.4841299714964067
6,120,20,5,96.0,True,True,39.0,39.0,0.0,63.0,27.0,6.0,63.0,27.0,6.0,1.5684477984905243,1.586803002282977,3.3652743994025514,3.347093006595969,0.47408392869750976
7,120,20,5,96.0,True,True,29.0,29.0,0.0,69.0,25.0,2.0,69.0,25.0,2.0,1.7631294031161815,1.736805003019981,3.56403439946007,3.5690130025614053,0.48663454063448713
8,120,20,5,88.0,True,True,30.0,30.0,0.0,60.0,26.0,2.0,60.0,26.0,2.0,1.9139715994242579,1.9199359958292916,3.651926398742944,3.662360002635978,0.5242346449959645
9,120,20,5,89.0,True,True,29.0,29.0,0.0,62.0,25.0,2.0,62.0,25.0,2.0,1.8217292003100738,1.791638002032414,4.24708119535353,3.414874998270534,0.5246569795204189
10,120,20,5,95.0,True,True,28.0,28.0,0.0,68.0,26.0,1.0,68.0,26.0,1.0,1.9812998012639582,1.9364489999134094,3.880588599713519,3.9002080011414364,0.4964989045062949
11,120,20,5,87.0,True,True,19.0,19.0,0.0,68.0,19.0,0.0,68.0,19.0,0.0,1.1483939975732937,1.1515999940456823,3.0856369994580746,3.101507987594232,0.37130324946831805
12,120,20,5,95.0,True,True,29.0,29.0,0.0,66.0,29.0,0.0,66.0,29.0,0.0,1.4292157982708886,1.4219299919204786,3.4950717992614955,3.481990992440842,0.40836693575813054
13,120,20,5,94.0,True,True,25.0,25.0,0.0,69.0,25.0,0.0,69.0,25.0,0.0,1.4389496063813567,1.450252006179653,3.353420802159235,3.3357020001858473,0.43476665664344505
14,120,20,5,96.0,True,True,28.0,28.0,0.0,68.0,28.0,0.0,68.0,28.0,0.0,1.4521578006679192,1.465188994188793,3.2124597986694425,3.2195810053963214,0.45508685500784046
15,120,20,5,86.0,True,True,25.0,25.0,0.0,68.0,11.0,7.0,68.0,11.0,7.0,1.5172890009125695,1.4903980045346543,3.443032203358598,3.351710009155795,0.44466794575406754
16,120,20,5,92.0,True,True,25.0,25.0,0.0,67.0,25.0,0.0,67.0,25.0,0.0,1.4227328007109463,1.4209920045686886,3.4750259976135567,3.4752589999698102,0.40888808706949115
17,120,20,5,92.0,True,True,27.0,27.0,0.0,69.0,19.0,4.0,69.0,19.0,4.0,1.368992798961699,1.3631429901579395,3.2842689979588613,3.294251990155317,0.4137943892062945
18,120,20,5,93.0,True,True,36.0,36.0,0.0,60.0,30.0,3.0,60.0,30.0,3.0,1.5076023963047192,1.4894310006638989,3.3256380003876984,3.373881001607515,0.44145925714459
19,120,20,5,95.0,True,True,27.0,27.0,0.0,69.0,25.0,1.0,69.0,25.0,1.0,1.4497232012217864,1.446451002266258,3.4152882028138265,3.394931001821533,0.42606197342160185
20,120,20,5,86.0,True,True,21.0,21.0,0.0,67.0,17.0,2.0,67.0,17.0,2.0,1.4380556007381529,1.4654429978691041,2.811462202225812,2.806969001539983,0.5220730963060585
21,120,20,5,89.0,True,True,28.0,28.0,0.0,63.0,24.0,2.0,63.0,24.0,2.0,1.5216180006973445,1.5302090032491833,4.1258307959651574,3.5710069932974875,0.42850910292846556
