instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,300,50,50,230.0,True,True,57.0,57.0,0.0,173.0,57.0,0.0,173.0,57.0,0.0,11.932126199826598,11.59116899361834,64.28552979778033,64.15991499670781,0.18066060396453312
2,300,50,50,231.0,True,True,92.0,92.0,0.0,152.0,66.0,13.0,152.0,66.0,13.0,12.826546994620003,12.757780001265928,58.58970319968648,59.02697899728082,0.21613472717032728
3,300,50,50,232.0,True,True,102.0,102.0,0.0,150.0,62.0,20.0,150.0,62.0,20.0,13.161372000467964,13.290307993884198,64.58932280074805,64.3180719926022,0.20663411669760307
4,300,50,50,211.0,True,True,38.0,38.0,0.0,173.0,38.0,0.0,173.0,38.0,0.0,9.36716659925878,9.13702200341504,54.913492398918606,54.96730300365016,0.16622649291722186
5,300,50,50,237.0,True,True,81.0,81.0,0.0,166.0,61.0,10.0,166.0,61.0,10.0,16.745148398331366,16.250799992121756,72.34222240222152,71.55513399629854,0.2271087912848069
6,300,50,50,233.0,True,True,64.0,64.0,0.0,175.0,52.0,6.0,175.0,52.0,6.0,11.792778398375958,11.277174999122508,66.51369660103228,66.33471499662846,0.17000412227135797
7,300,50,50,227.0,True,True,49.0,49.0,0.0,178.0,49.0,0.0,178.0,49.0,0.0,10.363147596945055,9.703970994451083,57.56133780232631,57.155501999659464,0.16978192221124924
8,300,50,50,234.0,True,True,80.0,80.0,0.0,164.0,60.0,10.0,164.0,60.0,10.0,11.927696800557896,11.34874700801447,57.12205180316232,57.06305800413247,0.19888080668919988
9,300,50,50,213.0,True,True,41.0,41.0,0.0,172.0,41.0,0.0,172.0,41.0,0.0,10.887886997079477,10.817175992997363,62.41083500208333,60.90426500304602,0.17760949898100503
10,300,50,50,225.0,True,True,86.0,86.0,0.0,151.0,62.0,12.0,151.0,62.0,12.0,12.602514401078224,12.485986997489817,62.92161520104855,63.19082599657122,0.19759176748484528
11,300,50,50,233.0,True,True,62.0,62.0,0.0,171.0,62.0,0.0,171.0,62.0,0.0,11.407618198427372,11.245732006500475,73.16181240603328,72.43208600266371,0.1552589829607684
12,300,50,50,218.0,True,True,48.0,48.0,0.0,170.0,48.0,0.0,170.0,48.0,0.0,10.944454401033,10.855455009732395,55.06782479933463,54.13015199883375,0.20054359001183442
13,300,50,50,221.0,True,True,50.0,50.0,0.0,171.0,50.0,0.0,171.0,50.0,0.0,10.415912402095273,10.472228008438833,62.43837979855016,62.439186993287876,0.16771883992603207
14,300,50,50,226.0,True,True,57.0,57.0,0.0,169.0,57.0,0.0,169.0,57.0,0.0,11.862247198587283,11.916495990590192,74.60163139912765,75.35699200525414,0.15813391264024093
15,300,50,50,233.0,True,True,89.0,89.0,0.0,157.0,63.0,13.0,157.0,63.0,13.0,12.04523119959049,12.050236997311004,60.92589980107732,60.08745600411203,0.20054496892806306
