instance_id,horizon,num_jobs,num_energy_intervals,total_processing,max_flow_feasible,pure_min_cost_feasible,max_flow_cost,pure_min_cost_cost,cost_difference_max_minus_pure,max_flow_green,max_flow_brown,max_flow_red,pure_green,pure_brown,pure_red,max_flow_mean_ms,max_flow_median_ms,pure_mean_ms,pure_median_ms,median_speed_ratio_max_over_pure
1,300,50,5,230.0,True,True,58.0,58.0,0.0,172.0,58.0,0.0,172.0,58.0,0.0,6.539505397086032,6.4999119931599125,35.68439160299022,35.41599299933296,0.18353041783361362
2,300,50,5,226.0,True,True,62.0,62.0,0.0,169.0,52.0,5.0,169.0,52.0,5.0,8.077171997865662,7.388982005068101,31.33420660160482,31.4333090063883,0.23506853839557307
3,300,50,5,217.0,True,True,60.0,60.0,0.0,157.0,60.0,0.0,157.0,60.0,0.0,6.917048399918713,6.89534199773334,27.975044000777416,27.84312699805014,0.24764969819001373
4,300,50,5,232.0,True,True,80.0,80.0,0.0,158.0,68.0,6.0,158.0,68.0,6.0,7.006912998622283,6.471154993050732,35.05259219673462,33.758552992367186,0.1916893474229734
5,300,50,5,221.0,True,True,50.0,50.0,0.0,173.0,46.0,2.0,173.0,46.0,2.0,8.711477799806744,8.746259001782164,37.89969640492927,37.61815300094895,0.23250102155630906
6,300,50,5,221.0,True,True,62.0,62.0,0.0,163.0,54.0,4.0,163.0,54.0,4.0,9.055553004145622,8.273295010440052,35.66366019658744,35.369852994335815,0.23390809715168875
7,300,50,5,228.0,True,True,63.0,63.0,0.0,166.0,61.0,1.0,166.0,61.0,1.0,6.846507402951829,6.80228001147043,35.493964396300726,35.18887599057052,0.19330768090726227
8,300,50,5,223.0,True,True,53.0,53.0,0.0,176.0,41.0,6.0,176.0,41.0,6.0,7.73053239681758,7.194710997282527,34.4677689980017,34.586195994052105,0.20802261684169673
9,300,50,5,232.0,True,True,81.0,81.0,0.0,157.0,69.0,6.0,157.0,69.0,6.0,6.818725206539966,6.741758013959043,32.3693423968507,32.69854899554048,0.20617911867827846
10,300,50,5,222.0,True,True,78.0,78.0,0.0,156.0,54.0,12.0,156.0,54.0,12.0,9.499648999189958,9.430462989257649,34.512823598925024,35.264783989987336,0.2674187084751525
11,300,50,5,230.0,True,True,57.0,57.0,0.0,173.0,57.0,0.0,173.0,57.0,0.0,6.582482802332379,6.452612011344172,31.729737002751794,31.65456501301378,0.20384459583290382
