folder,num_jobs,num_intervals,density,num_instances,mean_cpu_wall_seconds,median_cpu_wall_seconds,mean_gpu_maxflow_seconds,median_gpu_maxflow_seconds,mean_gpu_wall_seconds,median_gpu_wall_seconds
jobs_10_intervals_3_sparse,10,3,sparse,3,0.0005336776666808873,0.0005480909894686192,0.007875614911675433,0.00857903507618607,0.7152703392785043,0.7363496390171349
jobs_20_intervals_3_sparse,20,3,sparse,3,0.0012444340003033478,0.001213632000144571,0.006945232975433276,0.006494724062412971,0.4934140940507253,0.4923236391041428
jobs_50_intervals_5_sparse,50,5,sparse,3,0.006901166663737968,0.007105873984983191,0.01589835921908918,0.015665371035858966,0.5995155763036261,0.5165731320157647
jobs_100_intervals_10_sparse,100,10,sparse,3,0.028289978014072403,0.028910803026519716,0.05046772071437037,0.03943213002729418,0.6798683150360981,0.586072739912197
jobs_200_intervals_20_sparse,200,20,sparse,3,0.1215902026645684,0.1193571749900002,0.19404139178616808,0.17063390998837358,1.0252085450726252,0.8903655631002039
jobs_500_intervals_50_sparse,500,50,sparse,3,1.1571202140088037,1.115040222008247,1.8448627401277768,2.053576510142907,4.336891115022202,4.877238427056
jobs_1000_intervals_100_sparse,1000,100,sparse,3,3.932404873688938,3.905944559024647,6.336234330333814,6.383831274859785,12.349449122635027,12.307502816896886
jobs_2000_intervals_200_sparse,2000,200,sparse,3,20.896734380328173,20.837987265986158,29.777361594272808,28.822395924973158,52.736185788642615,51.496181001886725
jobs_5000_intervals_500_sparse,5000,500,sparse,3,188.85083681266406,189.3517797679815,183.61158224362597,183.0142365810613,325.79333654868725,326.4654343680013
jobs_10000_intervals_1000_sparse,10000,1000,sparse,3,842.9703325360024,921.1915409170033,1008.5086010509887,1080.2621279331318,1787.6100248303264,1943.1258173510432
jobs_10_intervals_3_light,10,3,light,3,0.0005389076541177928,0.0005581739824265242,0.007382041817650194,0.00843884426723418,0.6411081397285064,0.7171739370096475
jobs_20_intervals_5_light,20,5,light,3,0.0014080939872656018,0.0014846619742456824,0.007372017649610836,0.007735214851826433,0.5699564510335525,0.4902558410540223
jobs_50_intervals_12_light,50,12,light,3,0.007782778343729054,0.0070869750052224845,0.01715049922054011,0.016144231982037405,0.5958845739563307,0.5164935840293765
jobs_100_intervals_25_light,100,25,light,3,0.0302031170091747,0.030020419013453647,0.06661433247987929,0.06792125018136197,0.8091613841243088,0.8914907821454108
jobs_200_intervals_50_light,200,50,light,3,0.13331185433586748,0.1276128570025321,0.21452131936053434,0.18775058621187513,1.117995056323707,0.9991357079707086
jobs_500_intervals_125_light,500,125,light,3,1.1834960493433755,1.1391114220023155,1.4884921933146518,1.4429885709770325,3.4770605550147593,3.4621328900102526
jobs_1000_intervals_250_light,1000,250,light,3,4.333096906998738,4.151972259016475,7.564259402216643,7.546271523901001,14.086806982600441,14.13352502300404
jobs_2000_intervals_500_light,2000,500,light,3,22.832257887988817,22.722130227979505,29.657686768285,29.402491205138638,53.90102071966976,53.85671373992227
jobs_5000_intervals_1250_light,5000,1250,light,3,203.41992470399904,185.80531186200096,227.32030044191484,200.67437713270783,405.0823444230482,352.07836339296773
jobs_10000_intervals_2500_light,10000,2500,light,3,831.757849605657,833.5857314649911,1010.929358323349,1105.8119795813222,1804.166176133401,1995.7815149861854
jobs_10_intervals_5_medium,10,5,medium,3,0.0005813533207401633,0.0005707090022042394,0.008571517400041214,0.008506527623996174,0.7218812073115259,0.7220295139122754
jobs_20_intervals_10_medium,20,10,medium,3,0.0018217509981089581,0.0017484450072515756,0.008446980039770402,0.006958016985580295,0.575271314708516,0.49581344495527446
jobs_50_intervals_25_medium,50,25,medium,3,0.009323839670590436,0.008559100999264047,0.020737097354918688,0.02024831603588162,0.6845113950160643,0.7659123360645026
jobs_100_intervals_50_medium,100,50,medium,3,0.03784481266241831,0.040045772009762004,0.06738126118756338,0.07231391635979723,0.7905604013552269,0.8882451739627868
jobs_200_intervals_100_medium,200,100,medium,3,0.1404485029828114,0.1345811289793346,0.23763628813559812,0.20699788594555857,1.124061362662663,0.9606890298891813
jobs_500_intervals_250_medium,500,250,medium,3,1.2991987596712231,1.3199487270030659,1.7565913614707194,1.7781739235253484,3.917736221337691,3.9935790761373937
jobs_1000_intervals_500_medium,1000,500,medium,3,4.863754537005055,4.655266245012172,9.482606850141247,8.543418873991921,17.881945294638474,15.768155617872253
jobs_2000_intervals_1000_medium,2000,1000,medium,3,26.625257542337447,27.057792962004896,40.54806696125532,35.62026914403382,72.30742599675432,62.501952211139724
jobs_5000_intervals_2500_medium,5000,2500,medium,3,221.14626252932553,222.35820831698948,225.38989283688832,225.71774262773306,394.6711203023636,393.67524215811864
jobs_10000_intervals_5000_medium,10000,5000,medium,3,899.0888578736727,953.8511781360139,1005.4436782990147,889.3573866679151,1786.1384484273538,1544.9939716970548
jobs_10_intervals_10_dense,10,10,dense,3,0.0006843390098462502,0.0006841150170657784,0.00659569484969974,0.005689409008637014,0.6493649309656272,0.7279553750995547
jobs_20_intervals_20_dense,20,20,dense,3,0.0019453419954515994,0.00196201799553819,0.0072615832614203275,0.007124091102734209,0.493438230206569,0.4921440628822893
jobs_50_intervals_50_dense,50,50,dense,3,0.011357045324984938,0.011543600994627923,0.02574896390456464,0.027788687672153145,0.7179145053960383,0.7812849241308868
jobs_100_intervals_100_dense,100,100,dense,3,0.041335970997655146,0.03962018497986719,0.07633630845591917,0.06709344127498562,0.7453115573929002,0.6488339940551668
jobs_200_intervals_200_dense,200,200,dense,3,0.18714846101162644,0.17768508501467295,0.32976628768545885,0.3314367927843036,1.434572476350392,1.5527316459920257
jobs_500_intervals_500_dense,500,500,dense,3,1.4992148533347063,1.5183472069911659,2.148505742909049,2.188336709211603,4.703467959382881,4.775010511977598
jobs_1000_intervals_1000_dense,1000,1000,dense,3,6.004757504997542,6.127180206996854,10.860134343961695,9.448172670002565,20.684120036273573,17.862530771875754
jobs_2000_intervals_2000_dense,2000,2000,dense,3,31.142329245330377,31.1350429149752,39.87482522075124,39.96841853909202,71.742782852302,71.22967728204094
jobs_5000_intervals_5000_dense,5000,5000,dense,3,282.27525997265667,291.8538320600055,305.44816025057474,273.7863528649767,540.2497418774292,474.0172452391125
jobs_10_intervals_20_very_dense,10,20,very_dense,3,0.0009747039972959707,0.000987905979854986,0.005765509911388171,0.005522367013320317,0.4896662572864443,0.48650495195761323
jobs_20_intervals_40_very_dense,20,40,very_dense,3,0.002354739001020789,0.0024430659832432866,0.008169974458197782,0.007953308975622075,0.4943132313589255,0.4931582889985293
jobs_50_intervals_100_very_dense,50,100,very_dense,3,0.014039187333158528,0.013856386009138077,0.02585391536032655,0.02666848028481006,0.5347704406206807,0.5334260819945484
jobs_100_intervals_200_very_dense,100,200,very_dense,3,0.05784973866927127,0.055303618020843714,0.09509460458379981,0.0851678780071139,0.8158424887030075,0.7176133370958269
jobs_200_intervals_400_very_dense,200,400,very_dense,3,0.2787209603314598,0.2818946070037782,0.4861201375733564,0.5314090498478412,1.7211619019508362,1.9035910139791667
jobs_500_intervals_1000_very_dense,500,1000,very_dense,3,2.3805725286656525,2.1850990430102684,3.327977700157568,2.99797387123777,7.106063312152401,6.273168462095782
jobs_1000_intervals_2000_very_dense,1000,2000,very_dense,3,7.913721003666676,7.994110831990838,13.977732918130199,13.996993434955417,25.245782609951373,25.4305001499597
jobs_2000_intervals_4000_very_dense,2000,4000,very_dense,3,42.58321678167946,43.19392119301483,56.2793618365532,56.08248510637068,99.94212302876015,99.5082115251571
jobs_5000_intervals_10000_very_dense,5000,10000,very_dense,3,351.1873765740117,345.6696940800175,416.28461630432764,366.5025982631437,737.4361675976155,640.6078754498158
