Job,Interval,Start,End,Energy,Flow
J2688,I5275,14282.0,14284.0,green,1
J2688,I15803,53904.0,53907.0,brown,2
J2688,I15835,53991.0,53993.0,brown,1
J2688,I17436,58029.0,58034.0,green,1
J4066,I4127,10246.0,10249.0,green,1
J4066,I4863,12796.0,12799.0,green,1
J3205,I4476,11444.0,11453.0,green,1
J3205,I15004,51594.0,51597.0,brown,1
J3610,I6707,19568.0,19575.0,green,4
J3610,I7251,21661.0,21666.0,brown,2
J656,I2135,4579.0,4582.0,green,1
J656,I2551,5639.0,5641.0,green,1
J656,I4824,12657.0,12663.0,green,1
J656,I8490,26747.0,26755.0,green,1
J656,I8895,28473.0,28475.0,brown,1
J656,I9160,29566.0,29573.0,green,1
J3282,I7285,21808.0,21840.0,brown,1
J3282,I11126,37684.0,37697.0,green,1
J4495,I5333,14485.0,14490.0,green,1
J4495,I5429,14831.0,14839.0,green,1
J4495,I5493,15094.0,15096.0,green,1
J4495,I11405,38761.0,38784.0,brown,1
J4495,I11445,38941.0,38955.0,brown,1
J2164,I5981,16824.0,16839.0,brown,1
J2164,I6589,19087.0,19089.0,green,1
J2164,I7118,21132.0,21137.0,brown,1
J735,I1710,3478.0,3482.0,green,2
J735,I2222,4792.0,4797.0,brown,1
J1133,I2760,6190.0,6197.0,green,1
J1133,I4424,11237.0,11250.0,green,2
J1133,I5737,15996.0,16006.0,green,2
J1133,I14056,48468.0,48474.0,green,1
J9662,I5844,16342.0,16345.0,green,1
J9662,I6996,20692.0,20696.0,brown,1
J9662,I7668,23294.0,23299.0,brown,1
J9662,I16628,56082.0,56086.0,brown,1
J4895,I9920,32840.0,32851.0,brown,2
J4895,I14857,51135.0,51146.0,green,1
J9520,I9430,30771.0,30775.0,brown,2
J9520,I11574,39448.0,39450.0,brown,2
J6287,I2995,6866.0,6870.0,green,2
J6287,I3026,6946.0,6949.0,green,2
J8175,I6792,19873.0,19878.0,brown,1
J8175,I15032,51675.0,51683.0,brown,1
J8175,I15112,51896.0,51899.0,green,2
J8175,I15592,53323.0,53328.0,brown,1
J5433,I5092,13600.0,13607.0,green,4
J5433,I9732,32138.0,32141.0,green,1
J5433,I10511,35123.0,35131.0,brown,1
J7050,I12970,44733.0,44737.0,brown,1
J7050,I13355,46089.0,46108.0,green,1
J4279,I4399,11160.0,11166.0,green,4
J4279,I4430,11276.0,11282.0,green,1
J4279,I4463,11397.0,11401.0,green,1
J1252,I2031,4286.0,4293.0,green,1
J1252,I2094,4463.0,4469.0,green,1
J1252,I2126,4554.0,4556.0,green,1
J1252,I4175,10394.0,10399.0,green,1
J1252,I5367,14605.0,14615.0,green,1
J2514,I3045,7001.0,7007.0,green,1
J2514,I3588,8511.0,8515.0,brown,1
J2514,I3652,8712.0,8714.0,green,1
J1217,I2909,6621.0,6625.0,brown,4
J1217,I2941,6715.0,6718.0,brown,1
J1217,I4542,11661.0,11662.0,green,1
J411,I2059,4364.0,4366.0,brown,1
J411,I9451,30841.0,30842.0,brown,1
J411,I9643,31684.0,31688.0,brown,2
J411,I10907,36870.0,36882.0,brown,1
J3115,I7434,22393.0,22397.0,green,2
J3115,I7513,22689.0,22696.0,brown,2
J3693,I7676,23317.0,23328.0,green,1
J3693,I7707,23423.0,23427.0,brown,1
J3693,I14780,50857.0,50860.0,green,2
J9568,I11117,37642.0,37644.0,green,1
J9568,I17337,57777.0,57778.0,brown,1
J1806,I2620,5809.0,5810.0,brown,1
J1806,I2780,6238.0,6239.0,brown,1
J1806,I5532,15254.0,15255.0,brown,1
J1806,I12685,43619.0,43624.0,green,1
J8555,I11742,40069.0,40074.0,green,1
J8555,I11902,40656.0,40661.0,green,4
J5448,I4644,12014.0,12021.0,green,1
J5448,I4739,12352.0,12354.0,brown,1
J5448,I11267,38206.0,38207.0,brown,1
J5762,I4805,12589.0,12590.0,green,1
J5762,I4837,12703.0,12705.0,green,1
J5762,I11445,38941.0,38955.0,brown,1
J5762,I11589,39530.0,39532.0,green,1
J3634,I6156,17483.0,17488.0,green,1
J3634,I6157,17488.0,17489.0,green,1
J3634,I7573,22930.0,22933.0,brown,2
J3634,I9345,30344.0,30354.0,green,1
J1442,I10700,35996.0,36010.0,brown,1
J1442,I13581,46806.0,46814.0,green,1
J1442,I16012,54483.0,54490.0,brown,2
J7990,I12305,42202.0,42203.0,green,1
J7990,I12401,42589.0,42596.0,brown,2
J7990,I14897,51296.0,51298.0,green,2
J2613,I2081,4427.0,4430.0,green,1
J2613,I2145,4600.0,4603.0,red,1
J2613,I6337,18199.0,18216.0,green,2
J2613,I9890,32725.0,32739.0,green,1
J7260,I8729,27753.0,27758.0,green,2
J7260,I9304,30140.0,30142.0,brown,1
J1582,I1643,3333.0,3334.0,red,1
J1582,I1739,3565.0,3567.0,green,1
J1582,I1867,3878.0,3884.0,red,1
J1582,I2059,4364.0,4366.0,brown,1
J1582,I6924,20433.0,20453.0,green,1
J1582,I7919,24255.0,24265.0,brown,1
J7880,I11794,40252.0,40255.0,green,2
J7880,I11890,40603.0,40607.0,green,2
J7880,I12017,41171.0,41172.0,brown,1
J7880,I12177,41720.0,41722.0,brown,1
J9493,I8048,24828.0,24845.0,green,1
J9493,I13104,45165.0,45170.0,green,2
J9493,I13711,47304.0,47307.0,brown,3
J7703,I11567,39423.0,39434.0,brown,2
J7703,I15056,51750.0,51754.0,green,2
J96,I1090,2111.0,2116.0,green,1
J96,I8458,26609.0,26640.0,green,1
J96,I8489,26741.0,26747.0,green,1
J8789,I10054,33411.0,33413.0,green,1
J8789,I10757,36240.0,36245.0,brown,4
J341,I71,99.0,101.0,green,1
J341,I135,209.0,211.0,green,1
J341,I8263,25767.0,25778.0,brown,1
J341,I12207,41833.0,41845.0,brown,1
J9627,I8800,28063.0,28065.0,brown,1
J9627,I11361,38571.0,38578.0,green,4
J9627,I15457,52941.0,52949.0,green,1
J6396,I10322,34399.0,34405.0,green,3
J6396,I11634,39691.0,39696.0,green,1
J6636,I11124,37663.0,37682.0,green,1
J7720,I9252,29947.0,29951.0,brown,2
J7720,I9509,31078.0,31080.0,green,1
J7720,I9605,31509.0,31510.0,green,1
J7720,I15414,52802.0,52806.0,brown,1
J289,I15331,52567.0,52568.0,brown,1
J289,I15811,53927.0,53935.0,brown,1
J289,I15940,54270.0,54271.0,green,1
J289,I16004,54459.0,54460.0,green,1
J289,I16525,55816.0,55818.0,brown,1
J7032,I9439,30793.0,30805.0,brown,2
J7032,I12352,42409.0,42424.0,green,1
J7032,I16064,54615.0,54618.0,green,2
J7032,I16991,56965.0,56968.0,brown,1
J48,I5987,16857.0,16865.0,brown,1
J48,I6052,17091.0,17094.0,green,2
J9237,I5221,14100.0,14101.0,green,1
J9237,I13894,47941.0,47944.0,green,1
J9237,I16614,56053.0,56054.0,green,1
J9237,I16710,56273.0,56274.0,green,1
J9237,I16742,56340.0,56342.0,green,1
J8928,I10202,33956.0,33959.0,green,1
J9359,I12092,41454.0,41455.0,green,1
J9359,I12124,41563.0,41565.0,brown,2
J9359,I12156,41660.0,41661.0,green,1
J9359,I16732,56316.0,56320.0,green,1
J9359,I17949,59055.0,59059.0,green,1
J5405,I7245,21616.0,21620.0,brown,1
J5405,I7374,22157.0,22160.0,green,1
J5405,I8846,28269.0,28279.0,green,1
J5255,I5052,13471.0,13473.0,green,2
J5255,I9612,31529.0,31539.0,green,2
J5255,I9660,31788.0,31796.0,green,1
J7702,I6162,17503.0,17507.0,green,1
J7702,I8755,27839.0,27855.0,green,4
J7702,I9171,29615.0,29618.0,green,1
J5923,I9604,31507.0,31509.0,green,2
J5923,I10372,34606.0,34613.0,brown,1
J7613,I5921,16599.0,16601.0,brown,1
J7613,I6369,18310.0,18323.0,brown,1
J7613,I8418,26426.0,26427.0,green,1
J7613,I12642,43467.0,43471.0,green,1
J7613,I13762,47489.0,47492.0,brown,1
J7613,I14154,48840.0,48845.0,green,1
J6303,I8643,27358.0,27365.0,green,3
J4280,I6401,18455.0,18458.0,green,1
J4280,I8097,25071.0,25081.0,green,1
J2485,I5432,14848.0,14857.0,green,5
J2485,I5463,14985.0,14991.0,green,1
J3971,I4121,10220.0,10226.0,green,1
J3971,I5625,15622.0,15642.0,brown,4
J3971,I11578,39479.0,39483.0,green,1
J7256,I7710,23439.0,23442.0,brown,1
J7256,I12831,44206.0,44215.0,green,1
J7256,I15455,52933.0,52940.0,green,3
