Job,Interval,Start,End,Energy,Flow
J32,I87,137.0,139.0,brown,1
J32,I119,219.0,220.0,green,1
J32,I151,284.0,285.0,green,1
J32,I215,421.0,423.0,green,1
J32,I247,484.0,486.0,brown,1
J32,I262,519.0,520.0,brown,1
J77,I149,281.0,282.0,brown,1
J77,I181,348.0,351.0,green,1
J77,I246,479.0,484.0,green,1
J77,I310,598.0,599.0,brown,1
J26,I34,50.0,51.0,brown,1
J26,I90,142.0,145.0,brown,1
J71,I137,260.0,262.0,brown,2
J71,I169,328.0,329.0,brown,1
J71,I201,390.0,392.0,green,1
J71,I202,392.0,398.0,green,1
J43,I92,146.0,150.0,green,2
J41,I127,237.0,238.0,green,1
J41,I159,301.0,311.0,green,2
J41,I191,372.0,374.0,brown,1
J41,I235,457.0,458.0,brown,1
J57,I125,233.0,236.0,green,1
J57,I129,239.0,242.0,green,2
J57,I221,430.0,432.0,green,2
J84,I207,407.0,408.0,green,1
J84,I246,479.0,484.0,green,1
J84,I267,529.0,533.0,green,4
J66,I125,233.0,236.0,green,2
J66,I148,279.0,281.0,brown,2
J66,I180,347.0,348.0,green,1
J37,I90,142.0,145.0,brown,1
J37,I187,363.0,365.0,green,1
J37,I202,392.0,398.0,green,1
J100,I298,583.0,584.0,green,1
J100,I299,584.0,586.0,green,1
J100,I303,590.0,591.0,green,1
J100,I309,597.0,598.0,green,1
J100,I311,599.0,600.0,brown,1
J38,I98,158.0,159.0,brown,1
J38,I130,242.0,244.0,green,2
J38,I131,244.0,248.0,green,1
J38,I258,510.0,511.0,green,1
J38,I299,584.0,586.0,green,1
J59,I141,266.0,268.0,brown,1
J59,I177,341.0,343.0,brown,1
J59,I181,348.0,351.0,green,1
J59,I197,380.0,382.0,brown,1
J59,I253,497.0,504.0,green,1
J73,I225,440.0,443.0,green,3
J73,I241,467.0,474.0,green,3
J47,I79,115.0,116.0,brown,1
J47,I139,263.0,264.0,brown,1
J47,I203,398.0,399.0,green,1
J47,I246,479.0,484.0,green,1
J47,I278,552.0,554.0,brown,1
J33,I88,139.0,141.0,green,1
J33,I89,141.0,142.0,green,1
J33,I97,157.0,158.0,brown,1
J33,I121,224.0,226.0,green,2
J33,I138,262.0,263.0,brown,1
J94,I159,301.0,311.0,green,2
J94,I273,543.0,546.0,brown,3
J94,I279,554.0,555.0,green,1
J58,I196,379.0,380.0,brown,1
J58,I212,415.0,416.0,brown,1
J58,I228,445.0,446.0,brown,1
J36,I85,133.0,135.0,green,1
J36,I110,181.0,191.0,green,5
J65,I100,162.0,164.0,green,1
J65,I174,335.0,339.0,green,1
J65,I260,514.0,517.0,brown,1
J93,I238,461.0,464.0,brown,2
J93,I290,572.0,573.0,brown,1
J28,I122,226.0,228.0,green,2
J28,I234,453.0,457.0,green,4
J20,I22,32.0,33.0,brown,1
J20,I30,45.0,47.0,brown,1
J20,I82,120.0,124.0,green,1
J20,I83,124.0,125.0,green,1
J79,I245,477.0,479.0,green,2
J79,I293,575.0,577.0,brown,1
J12,I35,51.0,52.0,brown,1
J12,I110,181.0,191.0,green,5
J68,I191,372.0,374.0,brown,1
J68,I247,484.0,486.0,brown,1
J68,I248,486.0,490.0,green,1
J68,I255,506.0,507.0,brown,1
J34,I199,384.0,385.0,green,1
J34,I264,521.0,525.0,green,3
J34,I272,541.0,543.0,brown,2
J45,I133,252.0,253.0,brown,1
J45,I197,380.0,382.0,brown,1
J45,I213,416.0,417.0,green,1
J45,I230,447.0,449.0,brown,1
J87,I232,450.0,451.0,green,1
J87,I264,521.0,525.0,green,1
J64,I6,10.0,11.0,brown,1
J64,I17,22.0,28.0,green,2
J64,I24,35.0,36.0,brown,1
J64,I96,156.0,157.0,brown,1
J64,I160,311.0,312.0,green,1
J19,I43,63.0,65.0,brown,1
J19,I59,85.0,86.0,brown,1
J19,I92,146.0,150.0,green,2
J8,I31,47.0,48.0,brown,1
J8,I47,70.0,71.0,brown,1
J8,I112,195.0,200.0,green,4
J53,I102,165.0,167.0,brown,1
J53,I103,167.0,170.0,green,3
J9,I18,28.0,29.0,brown,1
J9,I66,96.0,97.0,brown,1
J9,I113,200.0,210.0,green,1
J9,I116,212.0,217.0,green,2
J9,I123,228.0,230.0,green,1
J92,I158,299.0,301.0,brown,1
J92,I190,368.0,372.0,green,1
J92,I223,434.0,439.0,green,1
J92,I238,461.0,464.0,brown,1
J10,I17,22.0,28.0,green,1
J10,I113,200.0,210.0,green,2
J10,I240,466.0,467.0,green,1
J40,I129,239.0,242.0,green,1
J13,I23,33.0,35.0,brown,2
J13,I54,78.0,79.0,brown,1
J13,I111,191.0,195.0,green,3
J16,I9,13.0,14.0,green,1
J16,I10,14.0,15.0,brown,1
J16,I201,390.0,392.0,green,1
J48,I162,313.0,318.0,green,2
J48,I178,343.0,344.0,green,1
J99,I146,275.0,278.0,green,1
J99,I179,344.0,347.0,green,2
J99,I295,579.0,581.0,green,1
J99,I307,594.0,595.0,green,1
J5,I5,9.0,10.0,green,1
J5,I7,11.0,12.0,brown,1
J5,I19,29.0,30.0,brown,1
J5,I21,31.0,32.0,green,1
J5,I90,142.0,145.0,brown,1
J5,I93,150.0,153.0,green,1
J42,I4,6.0,9.0,green,3
J42,I12,16.0,18.0,brown,1
J42,I32,48.0,49.0,brown,1
J42,I48,71.0,72.0,brown,1
J15,I30,45.0,47.0,brown,1
J15,I42,62.0,63.0,green,1
J15,I43,63.0,65.0,brown,1
J15,I55,79.0,80.0,brown,1
J15,I61,88.0,90.0,green,2
J23,I85,133.0,135.0,green,1
J23,I86,135.0,137.0,green,2
J88,I187,363.0,365.0,green,1
J88,I202,392.0,398.0,green,1
J88,I218,426.0,427.0,brown,1
J88,I254,504.0,506.0,brown,2
J88,I257,509.0,510.0,green,1
J83,I184,356.0,358.0,brown,1
J83,I185,358.0,361.0,green,1
J83,I200,385.0,390.0,green,1
J83,I281,556.0,562.0,green,2
J83,I297,582.0,583.0,green,1
