Job,Interval,Start,End,Energy,Flow
J96,I211,633.0,642.0,brown,5
J96,I276,854.0,857.0,green,1
J161,I110,260.0,266.0,green,2
J161,I126,321.0,339.0,green,2
J161,I173,473.0,480.0,brown,2
J22,I200,578.0,584.0,green,6
J123,I201,584.0,586.0,green,2
J164,I197,571.0,575.0,green,2
J164,I212,642.0,649.0,brown,1
J164,I277,857.0,860.0,green,3
J133,I42,82.0,87.0,green,1
J133,I110,260.0,266.0,green,1
J133,I169,458.0,467.0,brown,3
J174,I37,67.0,70.0,green,1
J174,I101,222.0,236.0,green,1
J180,I216,659.0,662.0,green,3
J180,I280,864.0,880.0,green,3
J26,I24,42.0,43.0,brown,1
J26,I120,290.0,293.0,brown,1
J17,I92,206.0,207.0,green,1
J17,I100,220.0,222.0,brown,2
J17,I132,353.0,355.0,brown,1
J17,I184,518.0,519.0,green,1
J17,I220,670.0,676.0,green,1
J88,I205,602.0,622.0,green,2
J88,I261,797.0,800.0,green,1
J25,I45,91.0,93.0,green,2
J25,I109,252.0,260.0,green,4
J136,I203,588.0,595.0,green,1
J136,I210,630.0,633.0,brown,1
J136,I226,706.0,707.0,brown,1
J136,I234,725.0,729.0,brown,1
J113,I309,980.0,982.0,brown,1
J113,I325,1029.0,1030.0,brown,1
J59,I186,522.0,532.0,green,2
J94,I166,448.0,451.0,brown,1
J94,I203,588.0,595.0,green,1
J94,I205,602.0,622.0,green,3
J55,I128,343.0,346.0,green,3
J84,I10,18.0,20.0,green,1
J84,I126,321.0,339.0,green,1
J84,I182,508.0,517.0,green,2
J84,I214,651.0,657.0,green,1
J106,I221,676.0,679.0,brown,1
J106,I254,778.0,783.0,green,2
J8,I5,8.0,9.0,green,1
J8,I8,12.0,13.0,green,1
J8,I9,13.0,18.0,green,1
J8,I25,43.0,45.0,brown,1
J8,I40,76.0,78.0,green,2
J57,I64,131.0,134.0,brown,1
J57,I81,176.0,182.0,green,4
J189,I196,563.0,571.0,green,4
J189,I356,1118.0,1119.0,green,1
J18,I12,21.0,23.0,green,2
J18,I37,67.0,70.0,green,1
J18,I46,93.0,99.0,green,1
J99,I160,438.0,442.0,brown,1
J99,I273,841.0,843.0,green,2
J99,I305,965.0,971.0,green,2
J62,I133,355.0,363.0,green,1
J62,I212,642.0,649.0,brown,1
J62,I261,797.0,800.0,green,1
J60,I126,321.0,339.0,green,5
J60,I157,431.0,434.0,brown,1
J36,I89,197.0,198.0,green,1
J36,I125,316.0,321.0,green,1
J36,I137,370.0,372.0,green,2
J36,I217,662.0,664.0,green,2
J75,I86,190.0,194.0,green,3
J75,I102,236.0,237.0,green,1
J179,I224,684.0,694.0,green,3
J117,I174,480.0,484.0,green,4
J117,I270,835.0,836.0,green,1
J117,I346,1087.0,1096.0,green,1
J23,I54,111.0,115.0,green,4
J30,I101,222.0,236.0,green,2
J30,I133,355.0,363.0,green,3
J78,I172,470.0,473.0,brown,2
J78,I175,484.0,491.0,green,1
J159,I309,980.0,982.0,brown,1
J146,I238,738.0,741.0,brown,1
J146,I297,935.0,947.0,green,1
J146,I334,1051.0,1055.0,brown,1
J40,I205,602.0,622.0,green,1
J40,I301,951.0,960.0,green,4
J64,I186,522.0,532.0,green,3
J56,I224,684.0,694.0,green,1
J56,I256,784.0,785.0,green,1
J56,I272,839.0,841.0,green,1
J56,I288,898.0,904.0,green,1
J148,I175,484.0,491.0,green,1
J148,I339,1068.0,1073.0,green,2
J83,I61,123.0,128.0,green,1
J83,I76,166.0,167.0,brown,1
J83,I156,429.0,431.0,brown,2
J44,I101,222.0,236.0,green,1
J44,I122,299.0,311.0,brown,2
J145,I280,864.0,880.0,green,3
J145,I312,985.0,993.0,green,2
J145,I346,1087.0,1096.0,green,1
J86,I167,451.0,457.0,brown,3
J86,I280,864.0,880.0,green,3
J156,I122,299.0,311.0,brown,1
J156,I123,311.0,313.0,green,2
J156,I267,823.0,826.0,green,2
J156,I301,951.0,960.0,green,1
J5,I74,162.0,163.0,brown,1
J5,I139,375.0,378.0,green,1
J104,I196,563.0,571.0,green,3
J1,I192,547.0,555.0,green,3
J1,I224,684.0,694.0,green,3
J150,I288,898.0,904.0,green,4
J35,I79,169.0,174.0,green,1
J35,I133,355.0,363.0,green,4
J35,I135,364.0,366.0,green,1
J199,I381,1168.0,1170.0,brown,1
J199,I382,1170.0,1174.0,green,2
J199,I383,1174.0,1176.0,green,1
J199,I385,1177.0,1178.0,green,1
J199,I386,1178.0,1179.0,green,1
J122,I126,321.0,339.0,green,2
J173,I210,630.0,633.0,brown,1
J173,I243,752.0,759.0,green,2
J82,I164,445.0,447.0,brown,2
J82,I172,470.0,473.0,brown,1
J138,I243,752.0,759.0,green,1
J138,I275,845.0,854.0,green,2
J138,I339,1068.0,1073.0,green,3
J162,I91,200.0,206.0,green,2
J162,I203,588.0,595.0,green,2
J162,I283,886.0,890.0,green,1
J197,I344,1079.0,1085.0,green,2
J19,I53,109.0,111.0,green,2
J19,I61,123.0,128.0,green,1
J19,I79,169.0,174.0,green,1
J3,I9,13.0,18.0,green,1
J3,I44,90.0,91.0,green,1
J3,I56,116.0,118.0,green,2
J3,I88,195.0,197.0,green,1
J73,I159,436.0,438.0,brown,1
J73,I192,547.0,555.0,green,1
J73,I319,1017.0,1020.0,brown,1
J90,I279,861.0,864.0,green,1
J90,I295,922.0,933.0,green,2
