Job,Interval,Start,End,Energy,Flow
J9,I12,22.0,28.0,brown,5
J9,I30,55.0,56.0,green,1
J3,I5,8.0,11.0,green,1
J3,I8,13.0,14.0,green,1
J3,I10,15.0,19.0,green,3
J3,I21,41.0,42.0,green,1
J5,I11,19.0,22.0,green,2
J5,I12,22.0,28.0,brown,1
J5,I25,45.0,47.0,green,2
J5,I26,47.0,49.0,green,1
J2,I5,8.0,11.0,green,2
J2,I15,31.0,35.0,green,1
J2,I27,49.0,51.0,green,2
J7,I22,42.0,43.0,green,1
J7,I23,43.0,44.0,brown,1
J6,I16,35.0,37.0,brown,2
J6,I17,37.0,38.0,brown,1
J6,I19,39.0,40.0,green,1
J6,I20,40.0,41.0,green,1
J8,I3,4.0,6.0,green,2
J8,I11,19.0,22.0,green,1
J8,I26,47.0,49.0,green,1
J1,I2,2.0,4.0,green,2
J1,I4,6.0,8.0,green,2
J1,I9,14.0,15.0,green,1
J1,I10,15.0,19.0,green,1
J4,I15,31.0,35.0,green,3
J10,I28,51.0,54.0,green,3
