Job,Interval,Start,End,Energy,Flow
J8,I9,22.0,45.0,green,2
J3,I6,12.0,18.0,green,2
J3,I9,22.0,45.0,green,3
J1,I3,8.0,9.0,red,1
J1,I5,11.0,12.0,green,1
J9,I14,50.0,52.0,brown,2
J9,I15,52.0,53.0,brown,1
J9,I16,53.0,55.0,brown,2
J9,I17,55.0,56.0,brown,1
J10,I9,22.0,45.0,green,2
J5,I7,18.0,19.0,green,1
J5,I9,22.0,45.0,green,4
J5,I11,46.0,47.0,green,1
J7,I9,22.0,45.0,green,3
J6,I6,12.0,18.0,green,3
J6,I9,22.0,45.0,green,3
J2,I6,12.0,18.0,green,1
J2,I8,19.0,22.0,green,3
J2,I10,45.0,46.0,green,1
J4,I9,22.0,45.0,green,5
