Job,Interval,Start,End,Energy,Flow
J80,I116,236.0,242.0,green,1
J80,I147,315.0,317.0,brown,1
J80,I179,410.0,415.0,green,1
J80,I307,846.0,850.0,red,2
J80,I407,1103.0,1105.0,green,1
J20,I201,485.0,491.0,green,2
J20,I368,1029.0,1034.0,green,1
J16,I49,78.0,82.0,green,1
J16,I52,87.0,88.0,green,1
J16,I64,110.0,111.0,green,1
J64,I166,361.0,368.0,green,1
J64,I278,747.0,755.0,brown,4
J193,I363,1017.0,1020.0,brown,2
J193,I395,1084.0,1085.0,green,1
J193,I432,1145.0,1151.0,green,2
J193,I439,1160.0,1163.0,green,1
J158,I258,685.0,687.0,brown,1
J158,I338,946.0,953.0,green,2
J158,I343,965.0,978.0,green,1
J158,I344,978.0,981.0,green,1
J158,I394,1082.0,1084.0,green,1
J60,I137,290.0,295.0,red,1
J60,I138,295.0,299.0,green,1
J60,I178,409.0,410.0,green,1
J60,I266,716.0,724.0,green,1
J83,I156,337.0,341.0,green,2
J83,I172,389.0,397.0,green,2
J83,I252,666.0,668.0,green,1
J89,I39,61.0,63.0,green,1
J89,I71,124.0,127.0,brown,1
J89,I200,479.0,485.0,green,2
J89,I231,607.0,610.0,green,1
J89,I304,836.0,844.0,green,1
J166,I236,618.0,620.0,brown,1
J166,I324,895.0,899.0,green,1
J166,I340,954.0,960.0,green,3
J166,I348,985.0,988.0,green,1
J198,I226,583.0,586.0,brown,2
J198,I283,768.0,773.0,green,2
J198,I418,1121.0,1122.0,brown,1
J198,I450,1183.0,1184.0,green,1
J58,I40,63.0,64.0,green,1
J58,I41,64.0,65.0,green,1
J58,I89,170.0,171.0,brown,1
J58,I92,176.0,177.0,brown,1
J58,I110,211.0,221.0,green,1
J58,I166,361.0,368.0,green,1
J151,I325,899.0,906.0,green,1
J174,I83,154.0,155.0,green,1
J174,I116,236.0,242.0,green,1
J174,I371,1036.0,1037.0,brown,1
J163,I151,328.0,332.0,brown,2
J163,I304,836.0,844.0,green,4
J175,I373,1038.0,1039.0,brown,1
J175,I385,1061.0,1063.0,brown,1
J110,I204,499.0,500.0,brown,1
J110,I236,618.0,620.0,brown,1
J110,I268,725.0,727.0,brown,2
J110,I300,823.0,826.0,green,1
J110,I316,864.0,875.0,green,1
J91,I62,106.0,108.0,brown,1
J91,I68,117.0,120.0,brown,1
J91,I286,778.0,779.0,green,1
J111,I42,65.0,71.0,green,1
J111,I263,705.0,713.0,green,5
J183,I193,458.0,464.0,brown,2
J183,I289,781.0,786.0,green,1
J183,I290,786.0,788.0,green,1
J183,I326,906.0,912.0,green,1
J74,I206,502.0,503.0,brown,1
J74,I343,965.0,978.0,green,2
J173,I98,194.0,195.0,green,1
J173,I194,464.0,466.0,brown,1
J72,I32,49.0,50.0,green,1
J72,I223,560.0,579.0,green,1
J72,I327,912.0,916.0,green,2
J72,I336,942.0,944.0,green,1
J84,I193,458.0,464.0,brown,4
J84,I289,781.0,786.0,green,1
J65,I117,242.0,245.0,green,1
J65,I136,278.0,290.0,brown,2
J65,I148,317.0,318.0,red,1
J65,I209,512.0,514.0,brown,2
J38,I110,211.0,221.0,green,2
J38,I114,227.0,233.0,green,2
J38,I171,383.0,389.0,green,2
J102,I81,148.0,151.0,green,2
J102,I97,193.0,194.0,green,1
J102,I258,685.0,687.0,brown,1
J124,I30,43.0,48.0,brown,2
J124,I42,65.0,71.0,green,1
J124,I54,92.0,93.0,red,1
J124,I86,161.0,162.0,brown,1
J124,I278,747.0,755.0,brown,1
J67,I143,306.0,308.0,green,1
J67,I167,368.0,370.0,green,2
J24,I29,42.0,43.0,brown,1
J24,I45,73.0,74.0,brown,1
