Job,Interval,Start,End,Energy,Flow
J15,I31,101.0,102.0,green,1
J15,I32,102.0,109.0,green,2
J3,I6,15.0,17.0,red,1
J3,I12,38.0,41.0,green,2
J3,I14,42.0,44.0,green,1
J19,I28,89.0,93.0,green,3
J19,I32,102.0,109.0,green,2
J19,I35,112.0,115.0,green,1
J5,I20,60.0,71.0,brown,6
J7,I20,60.0,71.0,brown,3
J7,I24,82.0,85.0,brown,3
J10,I18,53.0,58.0,green,3
J10,I22,72.0,75.0,brown,1
J10,I26,86.0,88.0,brown,1
J20,I26,86.0,88.0,brown,1
J20,I35,112.0,115.0,green,2
J20,I36,115.0,118.0,green,1
J20,I37,118.0,120.0,green,2
J4,I11,33.0,38.0,green,1
J4,I14,42.0,44.0,green,1
J4,I15,44.0,46.0,green,2
J4,I16,46.0,49.0,green,1
J6,I10,32.0,33.0,green,1
J6,I11,33.0,38.0,green,4
J12,I17,49.0,53.0,green,4
J16,I8,23.0,24.0,red,1
J16,I22,72.0,75.0,brown,1
J16,I30,99.0,101.0,green,1
J16,I32,102.0,109.0,green,3
J1,I4,8.0,9.0,red,1
J1,I23,75.0,82.0,brown,1
J1,I25,85.0,86.0,brown,1
J8,I21,71.0,72.0,brown,1
J8,I29,93.0,99.0,green,5
J2,I12,38.0,41.0,green,1
J2,I18,53.0,58.0,green,1
J2,I28,89.0,93.0,green,1
J2,I33,109.0,111.0,green,1
J17,I23,75.0,82.0,brown,6
J18,I22,72.0,75.0,brown,1
J18,I30,99.0,101.0,green,1
J18,I34,111.0,112.0,green,1
J14,I13,41.0,42.0,green,1
J14,I18,53.0,58.0,green,1
J14,I27,88.0,89.0,green,1
J9,I16,46.0,49.0,green,2
J9,I20,60.0,71.0,brown,2
J13,I29,93.0,99.0,green,1
J13,I33,109.0,111.0,green,1
J13,I36,115.0,118.0,green,2
J11,I19,58.0,60.0,green,2
