Job,Interval,Start,End,Energy,Flow
J3400,I5861,17830.0,17843.0,green,1
J3400,I5893,17983.0,17995.0,green,1
J3400,I5956,18245.0,18250.0,brown,4
J7,I59,84.0,85.0,brown,1
J7,I1275,2605.0,2616.0,brown,1
J7,I1723,3678.0,3683.0,brown,2
J951,I2020,4606.0,4610.0,green,1
J951,I3985,11080.0,11089.0,green,1
J405,I556,935.0,936.0,green,1
J405,I756,1375.0,1378.0,green,2
J405,I828,1552.0,1553.0,green,1
J405,I1244,2520.0,2525.0,green,2
J4135,I7789,24386.0,24391.0,green,5
J4135,I8013,25025.0,25027.0,brown,1
J4896,I3363,8883.0,8885.0,brown,1
J4896,I9812,29422.0,29426.0,green,3
J4896,I9844,29490.0,29493.0,green,1
J4867,I4893,14374.0,14378.0,brown,1
J466,I4520,12915.0,12924.0,green,1
J466,I6824,21248.0,21258.0,green,2
J400,I2203,5183.0,5185.0,green,2
J400,I2235,5279.0,5283.0,green,1
J400,I5243,15711.0,15719.0,green,2
J3966,I1099,2149.0,2154.0,brown,1
J3966,I4172,11735.0,11757.0,green,3
J3933,I2038,4653.0,4655.0,brown,1
J3933,I2070,4749.0,4752.0,brown,2
J3933,I2102,4864.0,4865.0,brown,1
J3933,I2134,4969.0,4971.0,brown,1
J3933,I2422,5829.0,5831.0,brown,1
J3279,I2961,7464.0,7471.0,brown,3
J3279,I3857,10682.0,10683.0,brown,1
J3683,I6225,19135.0,19138.0,green,1
J3683,I6545,20265.0,20268.0,green,2
J214,I641,1112.0,1113.0,green,1
J214,I2941,7416.0,7423.0,green,1
J214,I3101,7968.0,7980.0,green,3
J2025,I1462,3049.0,3050.0,brown,1
J2025,I4759,13872.0,13883.0,green,1
J2025,I4791,14010.0,14013.0,green,1
J2025,I7863,24607.0,24612.0,green,3
J4483,I3515,9450.0,9451.0,brown,1
J4483,I3739,10217.0,10221.0,brown,1
J4483,I3899,10817.0,10820.0,brown,1
J4483,I8940,27475.0,27477.0,green,2
J1047,I1841,4002.0,4003.0,green,1
J1047,I2001,4534.0,4538.0,green,1
J4710,I8465,26253.0,26257.0,green,1
J479,I526,879.0,881.0,green,2
J479,I1518,3175.0,3178.0,green,2
J479,I1806,3906.0,3908.0,green,1
J479,I1870,4099.0,4100.0,green,1
